player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-15,14:06:00,1,1,"Glaser, Josh",830900,Right,EAU_C,"LaChance, Greg",831328,Right,THU_BAY,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,75.92539,-0.159629,-1.798228,2393.243189,78.860932,08:45:00,6.06653,1.31965,5.11706,-49.2605,0.34087,-5.61,1.81105,-0.84234,70.43235,-9.049219,-2.791838,0.506895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33477,0.63575,-1.14588,50,6.01293,3.67853,-110.24516,-1.98551,2.89075,18.49424,-31.38693,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,c7215bf0-4a1b-11f0-8bb3-630aac806672,74.3594,NA,NA,5.49304,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:06:00,2025-06-15T19:06:00Z,2025-06-15T19:06:00Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,96cdbd42-e7e9-4901-9f30-e61374250bed,55.38319,-111.14455,9.24712,6.07238,-0.45914,-15.69347,-1.32135,3.53795,1.44537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-15,14:06:13,1,2,"Glaser, Josh",830900,Right,EAU_C,"LaChance, Greg",831328,Right,THU_BAY,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.70915,-1.186508,-2.426274,2355.098016,66.923818,08:15:00,6.0945,1.34786,5.02148,-49.74554,-1.71823,-7.61571,0.82821,-1.57775,71.65409,-10.128214,-3.772842,0.498788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08122,-0.04878,-1.10906,50,5.94075,5.08074,-112.63631,-4.10087,3.94323,21.19047,-32.23649,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,ce60d3f0-4a1b-11f0-8bb3-630aac806672,75.56812,NA,NA,6.05505,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:06:13,2025-06-15T19:06:13Z,2025-06-15T19:06:13Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,bbca88f8-8089-43d9-9dbc-777cef8e7507,55.47776,-113.66218,10.59523,6.10151,-2.54025,-16.11825,-1.35041,4.88985,1.97162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-15,14:06:27,1,3,"Glaser, Josh",830900,Right,EAU_C,"LaChance, Greg",831328,Right,THU_BAY,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.93135,-1.135156,-3.205661,2112.808701,209.791453,01:00:00,6.18083,1.06614,5.54705,-22.36608,15.00186,7.93394,3.25439,-1.2715,79.801,-5.300562,-1.793757,0.439968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.84492,8.23024,-0.79373,50,6.06773,6.71993,-126.0754,-3.2383,-7.83942,24.35964,-18.85694,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,d6d65af0-4a1b-11f0-8bb3-630aac806672,85.6709,NA,NA,7.13034,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:06:27,2025-06-15T19:06:27Z,2025-06-15T19:06:27Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,b1fe8244-bb26-402b-9973-e70528e45d69,54.95075,-127.02836,12.17982,6.17998,-2.50062,-9.42847,-1.06261,7.02661,-3.91971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-15,14:06:43,1,4,"Glaser, Josh",830900,Right,EAU_C,"LaChance, Greg",831328,Right,THU_BAY,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.90068,-3.607642,-2.648741,2006.901199,196.967101,12:30:00,6.11086,1.16277,5.81565,-19.21509,17.16458,4.88103,1.14716,-0.89506,80.65606,-7.209245,-1.774857,0.434111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2211,10.11489,-0.9487,50,5.80345,5.68767,-127.33467,-8.62298,-5.29693,25.75799,-15.54058,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,e0542a30-4a1b-11f0-8bb3-630aac806672,86.82677,NA,NA,7.24462,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:06:43,2025-06-15T19:06:43Z,2025-06-15T19:06:43Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,27a63866-ef9f-4c40-ba3a-3a5c17dc396a,54.68241,-128.27835,12.87899,6.10894,-8.05362,-7.77029,-1.16063,5.88173,-2.64846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-15,14:06:57,1,5,"Glaser, Josh",830900,Right,EAU_C,"LaChance, Greg",831328,Right,THU_BAY,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,86.50117,-2.017515,-3.218982,2056.497714,203.191642,12:45:00,6.11812,1.15278,6.04171,-20.79666,16.57753,6.56859,2.5134,-1.28332,78.8561,-5.950007,-2.039202,0.440005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.29961,9.48536,-0.90511,50,5.94935,6.78439,-125.37694,-5.02417,-6.81763,26.2565,-17.13363,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,e8ec7b70-4a1b-11f0-8bb3-630aac806672,85.6637,NA,NA,7.64507,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:06:57,2025-06-15T19:06:57Z,2025-06-15T19:06:57Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,d982006d-4624-4846-a7a6-5da54f982fbc,54.45489,-126.30644,13.12825,6.11648,-4.41762,-8.56681,-1.14955,7.02574,-3.40882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-15,14:07:31,2,1,"Glaser, Josh",830900,Right,EAU_C,"Hamilton, Ty",802498,Left,THU_BAY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Single,0,0,NA,85.30266,-1.574154,-1.377919,1976.708869,205.700185,12:45:00,6.12215,1.35438,5.71307,-21.48852,17.5282,7.78119,2.86417,0.71889,77.34655,-5.632752,0.014047,0.449569,78.99892,23.2003,-0.4749,2136.64222,109.75162,36.83927,-7.38801,255.37654,255.37654,-8.182383,3.444594,-4.37646,9.79217,-1.24398,50,5.97735,2.65159,-123.69843,-4.04605,-6.7157,26.89212,-17.14793,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,fd085700-4a1b-11f0-8bb3-630aac806672,83.84121,39.30997,NA,7.95611,NA,NA,NA,0.65948,2.81182,-0.72012,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:07:31,2025-06-15T19:07:31Z,2025-06-15T19:07:31Z,LineDrive,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,725fa8ba-4802-456f-b471-a3b2b3fc1a73,54.78327,-124.73398,13.44606,6.12044,-3.38573,-8.57396,-1.35106,2.9102,-3.35785,148.59897,0.65957,106.4881,-16.99214,3.60265,-0.65438,0.07603,0.00302,-0.00293,3.4e-4,2.81171,45.64883,-15.2405,0.77829,-0.18937,0.08301,-0.0306,0.00658,-5.7e-4,-0.7201,-0.88367,-4.83996,1.03175,-0.1889,0.02257,6.1e-4,-7.9e-4,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-15,14:08:17,3,1,"Glaser, Josh",830900,Right,EAU_C,"Bach, Jordan",1000320999,Right,THU_BAY,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,77.14665,0.205256,-1.693684,2337.541354,73.318254,08:30:00,6.02216,1.43941,5.24509,-49.28593,-0.84689,-8.17272,2.10797,-0.83378,70.6064,-8.748432,-3.144296,0.500921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61984,-0.10780000000000001,-1.27736,50,6.00408,3.62351,-111.90198,-1.26211,4.55044,21.81445,-32.30954,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,18624b00-4a1c-11f0-8bb3-630aac806672,75.24627,NA,NA,6.54025,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:08:17,2025-06-15T19:08:17Z,2025-06-15T19:08:17Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,aded0f9c-a81c-4f28-8f96-38968c6f9ea7,55.255,-112.92176,10.90723,6.02778,0.24829,-16.15477,-1.44178,3.41079,2.27522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-15,14:08:39,3,2,"Glaser, Josh",830900,Right,EAU_C,"Bach, Jordan",1000320999,Right,THU_BAY,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.01408,-0.82911,-1.632824,2460.514928,69.700058,08:15:00,5.94672,1.2641,5.09329,-50.79826,-2.03221,-9.73071,0.93179,-1.086,70.90537,-9.986134,-3.357066,0.502609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38835,-0.3437,-1.10175,50,5.82829,3.56793,-111.70665,-3.38053,5.51423,21.1647,-32.60591,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,258fdbd0-4a1c-11f0-8bb3-630aac806672,74.99356,NA,NA,6.10871,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:08:39,2025-06-15T19:08:39Z,2025-06-15T19:08:39Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,19212d3c-6230-45d9-a282-be9735694fe8,55.40671,-112.72638,10.58235,5.95333,-1.80954,-16.30295,-1.26725,3.30225,2.75711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-15,14:08:59,3,3,"Glaser, Josh",830900,Right,EAU_C,"Bach, Jordan",1000320999,Right,THU_BAY,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,86.67614,-2.508047,-0.702166,2114.488806,198.51835,12:30:00,6.12362,1.15657,5.76887,-20.49753,17.13036,5.30823,2.07977,0.94544,78.89729,-6.370006,0.248877,0.441495,45.40735,-73.656096,-50.618323,NA,NA,NA,NA,1.72718,1.72718,-54.183193,0.030961,-2.91851,9.86186,-1.10178,50,5.90388,1.31955,-125.69914,-6.12765,-4.63786,27.09094,-16.50231,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,31792cd0-4a1c-11f0-8bb3-630aac806672,85.37447,1.99259,NA,7.77885,NA,NA,NA,0.63999,1.99259,-0.94891,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:08:59,2025-06-15T19:08:59Z,2025-06-15T19:08:59Z,GroundBall,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,31d32a3d-08f8-4189-a529-40b736002cf6,54.72817,-126.71407,13.54547,6.12186,-5.50941,-8.25116,-1.15447,1.49331,-2.31893,NA,0.63957,11.97462,NA,NA,NA,NA,NA,NA,NA,1.99484,-64.35759,NA,NA,NA,NA,NA,NA,NA,-0.9484,-14.58764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-15,14:09:45,4,1,"Glaser, Josh",830900,Right,EAU_C,"Sheffield, Jeremy",821894,Right,THU_BAY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.5282,-1.685202,-4.621305,2123.492681,199.524316,12:45:00,6.24328,0.92268,5.59818,-23.18682,16.38001,5.37918,2.73215,-2.9529,77.73194,-5.996165,-3.666232,0.452728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.92197,9.10619,-0.52947,50,6.08346,9.66802,-122.36565,-4.34339,-5.98382,22.72834,-18.280639999999998,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,4c8d8c50-4a1c-11f0-8bb3-630aac806672,83.25634,NA,NA,6.79626,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:09:45,2025-06-15T19:09:45Z,2025-06-15T19:09:45Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,57fb0c4d-67ae-49e9-8cda-a79ea423f816,54.89936,-123.27231,11.36417,6.24218,-3.61416,-9.1403199999999991,-0.9199,9.90672,-2.99191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-15,14:10:02,4,2,"Glaser, Josh",830900,Right,EAU_C,"Sheffield, Jeremy",821894,Right,THU_BAY,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.47326,0.263202,-0.671651,2292.987923,83.142834,08:45:00,6.00783,1.43352,5.1314,-46.89377,0.8202,-5.15953,2.34791,0.371,71.48382,-8.23313,-1.586024,0.497158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38539,0.79236,-1.36636,50,5.9962,1.52584,-112.49134,-1.11465,3.06652,19.7852,-31.15545,EAU_C,THU_BAY,CarsonPark,NWL,NWL,20250615-CarsonPark-3,56b09c40-4a1c-11f0-8bb3-630aac806672,75.81585,NA,NA,5.98944,NA,NA,NA,NA,NA,NA,af9bb68e-0b33-4a28-a390-d2f7a8b2665a,2025-06-15,19:10:02,2025-06-15T19:10:02Z,2025-06-15T19:10:02Z,NA,v3,NA,NA,NA,"Cormier, Matthew",1000314368,Right,EAU_C,783213a6-f649-4165-87c8-50386c8fc6b0,55.36765,-113.43148,9.8926,6.014,0.36578,-15.57773,-1.43541,1.38013,1.53326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
