player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-27,13:25:43,1,1,"McKain, Griffin",1000343935,Left,CHA_16U3,"Maniscalco, Rocco",10057447,Right,CHA_16U7,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.02029,-2.304405,4.710075,2100.812821,136.623596,10:30:00,5.55658,-1.92503,6.14895,-23.53171,16.30202,-14.05741,1.45796,1.26549,76.13694,-6.759198,2.185764,0.454252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7243,9.55304,1.57305,50,5.36854,-9.46899,-121.51667,-5.5639,12.90732,26.15689,-18.04062,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,c18188a0-537b-11f0-981f-812ffba524be,82.97694,NA,NA,7.88335,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:25:43,2025-06-27T17:25:43Z,2025-06-27T17:25:43Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,35d76007-dd69-478c-add3-569f7053e688,54.34925,-122.44928,13.07845,5.5554500000000004,-4.92067,-9.02031,1.91887,-9.9292,6.45366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-27,13:25:56,1,2,"McKain, Griffin",1000343935,Left,CHA_16U3,"Maniscalco, Rocco",10057447,Right,CHA_16U7,Undefined,1,Top,0,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.93224,-4.306082,3.365323,2118.253308,130.683069,10:15:00,5.47174,-1.95369,5.86107,-26.59474,13.85213,-14.40733,-0.75944,-0.02422,76.3157,-9.251236,0.78207,0.457735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55445,8.87312,1.68942,50,5.10593,-6.58069,-121.31078,-9.96347,12.58255,26.59989,-19.1228,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,c96a8710-537b-11f0-981f-812ffba524be,82.34562,NA,NA,7.61654,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:25:56,2025-06-27T17:25:56Z,2025-06-27T17:25:56Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,9e1a66f4-7066-4d20-a5a2-271f03998f2e,54.63938,-122.32383,13.29994,5.47152,-9.23519,-9.5614,1.94917,-7.05989,6.29127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-27,13:26:14,1,3,"McKain, Griffin",1000343935,Left,CHA_16U3,"Maniscalco, Rocco",10057447,Right,CHA_16U7,Undefined,1,Top,0,2,0,Undefined,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.24959,-3.396447,3.879152,2184.890243,133.640458,10:30:00,5.47974,-1.89229,6.03923,-22.79167,17.163,-16.42977,0.42468,0.33585,76.114,-7.710458,0.928243,0.454941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.69075,10.35729,1.59804,50,5.20178,-7.6062,-121.78726,-7.88563,14.334,27.30117,-16.85415,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,d3d1cbf0-537b-11f0-981f-812ffba524be,82.85125,NA,NA,8.1356,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:26:14,2025-06-27T17:26:14Z,2025-06-27T17:26:14Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,401cf4e5-7263-4680-bbe9-2f16c58ae89f,54.45821,-122.7826,13.65059,5.47807,-7.27117,-8.42708,1.8848800000000001,-8.12879,7.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-27,13:26:26,1,4,"McKain, Griffin",1000343935,Left,CHA_16U3,"Maniscalco, Rocco",10057447,Right,CHA_16U7,Undefined,1,Top,0,3,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,82.47506,-0.345262,3.502325,2064.478607,139.045523,10:45:00,5.51413,-1.99418,6.27038,-26.79261,14.09446,-11.01631,2.96252,0.32056,74.83645,-5.413928,1.515811,0.460219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76654,7.83418,1.73997,50,5.47551,-6.90494,-119.5874,-1.46653,9.71577,24.88832,-20.92531,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,db7731b0-537b-11f0-981f-812ffba524be,81.90115,NA,NA,7.63861,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:26:26,2025-06-27T17:26:26Z,2025-06-27T17:26:26Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,7833fe4e-439b-4b9e-8ce6-27e2c2275acb,54.227290000000004,-120.46396,12.44416,5.51418,-0.72954,-10.46266,1.98919,-7.24712,4.85788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-27,13:26:38,1,5,"McKain, Griffin",1000343935,Left,CHA_16U3,"Maniscalco, Rocco",10057447,Right,CHA_16U7,Undefined,1,Top,0,3,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,85.13495,-3.178226,2.766684,2134.004508,129.844605,10:15:00,5.64667,-1.851,5.77186,-27.01375,12.33446,-13.07701,0.43142,-0.36411,77.23553,-8.205391,0.424686,0.451475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52024,7.70646,1.6301,50,5.36733,-5.41197,-123.19497,-7.71167,11.4109,27.36782,-20.48057,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,e25e0260-537b-11f0-981f-812ffba524be,83.48726,NA,NA,7.89941,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:26:38,2025-06-27T17:26:38Z,2025-06-27T17:26:38Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,eb113f87-16ab-42f8-899f-6a41e8ba76a3,54.72542,-124.24029,13.68391,5.64694,-6.92941,-10.24029,1.84513,-5.84782,5.70545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-27,13:27:01,1,6,"McKain, Griffin",1000343935,Left,CHA_16U3,"Maniscalco, Rocco",10057447,Right,CHA_16U7,Undefined,1,Top,0,3,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,85.10223,-1.110136,2.250721,2155.591228,138.958061,10:45:00,5.6351,-1.86035,5.65027,-24.91852,13.96918,-11.09827,2.52219,-0.68486,77.98608,-5.751315,0.26861,0.448825,66.8165,-38.475653,-21.234238,NA,NA,NA,NA,5.49976,5.49976,-5.26329,0.042801,6.2891,7.76563,1.67684,50,5.52517,-4.4036,-123.53175,-3.19961,9.73189,24.28306,-20.15732,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,f034cb80-537b-11f0-981f-812ffba524be,83.98017,2.62069,NA,7.11615,NA,NA,NA,2.40291,2.62069,0.6898,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:27:01,2025-06-27T17:27:01Z,2025-06-27T17:27:01Z,GroundBall,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,66cc777d-f05e-46d5-a96a-ad6bb513fdee,54.849850000000004,-124.48145,12.14153,5.6349,-2.41127,-10.07866,1.85651,-4.78421,4.86594,NA,2.40084,71.81233,NA,NA,NA,NA,NA,NA,NA,2.62246,-61.22931,NA,NA,NA,NA,NA,NA,NA,0.69061,-27.90355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-27,13:27:36,2,1,"McKain, Griffin",1000343935,Left,CHA_16U3,"Lawler, Marcus",10057432,Right,CHA_16U7,Undefined,1,Top,1,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,71.83611,3.336949,-0.402107,2251.120211,316.375304,04:30:00,5.55991,-1.95551,5.45293,-68.81185,-12.78587,14.09241,2.9531,-1.15758,65.06682,-9.210231,2.109087,0.538724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.15185,-6.81075,1.98123,50,5.80792,0.20423,-104.06261,3.85623,-7.7005,20.409300000000002,-39.50728,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,04df7990-537c-11f0-981f-812ffba524be,69.96618,NA,NA,6.76928,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:27:36,2025-06-27T17:27:36Z,2025-06-27T17:27:36Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,fe2290fe-d2a7-490d-92fd-f3d76eee1c8f,55.04878,-105.04814,10.204650000000001,5.57565,5.76396,-19.75364,1.96239,0.57608,-3.85025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-27,13:27:51,2,2,"McKain, Griffin",1000343935,Left,CHA_16U3,"Lawler, Marcus",10057432,Right,CHA_16U7,Undefined,1,Top,1,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.14323,-3.773111,4.511175,2154.284286,133.732169,10:30:00,5.64426,-1.85787,5.80601,-25.89608,13.19753,-12.42516,-0.03871,1.31074,77.95737,-8.572486,2.291739,0.450012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.728,8.2126,1.49481,50,5.31785,-9.22303,-123.0645,-8.95927,11.81428,25.1373,-19.61891,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,0e1172c0-537c-11f0-981f-812ffba524be,83.75868,NA,NA,7.18587,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:27:51,2025-06-27T17:27:51Z,2025-06-27T17:27:51Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,940d5cbc-63c3-44f5-be3e-3234c1a4e734,54.69493,-124.01978,12.56865,5.64416,-8.2137,-9.80946,1.85384,-9.672,5.90714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-27,13:28:09,2,3,"McKain, Griffin",1000343935,Left,CHA_16U3,"Lawler, Marcus",10057432,Right,CHA_16U7,Undefined,1,Top,1,1,1,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,71.71126,0.851188,1.253764,2297.991068,321.975142,04:45:00,5.52164,-2.02197,5.56641,-69.85421,-13.95068,12.44851,0.49587,0.18682000000000001,65.56965,-11.828661,3.483227,0.538135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.85922,-6.71618,1.90557,50,5.54958,-2.72329,-104.04879,-0.64291,-6.29396,20.734,-39.38857,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,18b6f920-537c-11f0-981f-812ffba524be,70.04274,NA,NA,6.14161,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:28:09,2025-06-27T17:28:09Z,2025-06-27T17:28:09Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,df4c1b90-86c3-45af-8fec-8507d4314ecc,54.93621,-105.02783,10.367,5.53602,1.21698,-19.69429,2.02715,-2.42609,-3.14698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-27,13:28:29,2,4,"McKain, Griffin",1000343935,Left,CHA_16U3,"Lawler, Marcus",10057432,Right,CHA_16U7,Undefined,1,Top,1,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,79.26377,-1.972535,2.837153,958.696657,132.234972,10:30:00,5.5328,-2.05886,5.67598,-38.80931,6.13063,-5.18477,0.45679,0.1562,73.02407,-9.07654,1.9099410000000001,0.482489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44658,4.07402,1.82282,50,5.34167,-5.50136,-114.94675,-5.20353,4.60873,21.41672,-26.72636,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,24b8b420-537c-11f0-981f-812ffba524be,78.12076,NA,NA,6.23971,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:28:29,2025-06-27T17:28:29Z,2025-06-27T17:28:29Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,6b9a9442-0dbc-458c-8d8b-52724faedf21,54.8241,-115.84208,10.70836,5.53585,-4.08623,-13.36318,2.05683,-5.69403,2.30437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-27,13:28:59,3,1,"McKain, Griffin",1000343935,Left,CHA_16U3,"Kightlinger, Austin",10116478,Left,CHA_16U7,Undefined,1,Top,2,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.48834,-3.264822,3.843351,2164.934091,142.628888,10:45:00,5.61065,-1.78587,5.76973,-22.81485,16.92375,-11.88709,0.66094,0.80563,77.07195,-7.536283,1.719845,0.453709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18512,9.9839,1.47493,50,5.32615,-7.72907,-122.21587,-7.67582,10.81802,25.11003,-17.14213,CHA_16U3,CHA_16U7,USABBCary3,USA Baseball,USA,20250627-USABBCary3-3,36ac7f90-537c-11f0-981f-812ffba524be,83.07619,NA,NA,7.41639,NA,NA,NA,NA,NA,NA,a78bfc0b-6180-4eb4-bf18-12b87f58c50a,2025-06-27,17:28:59,2025-06-27T17:28:59Z,2025-06-27T17:28:59Z,NA,v3,NA,NA,NA,"Anderson, KJ",NA,Undefined,CHA_16U3,b1c7b892-990f-43ca-a589-dac572e6cbd0,54.72878,-123.1836,12.55501,5.60924,-7.01517,-8.57107,1.78084,-8.14599,5.40901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
