player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-22,18:05:18,1,1,"Murphy, Colin",824515,Right,WIL_TOB,"Young, Michael",1000357180,Right,BOO_BIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,87.92464,-2.01413,-2.330549,2194.884303,190.431073,12:15:00,6.28517,1.11293,5.72812,-20.71631,15.75713,2.68331,2.68058,-0.83527,80.36589,-5.898893,-1.850889,0.43467,85.89231,3.314552,-21.821769,3217.022148,NA,NA,NA,62.69489,57.89134,-22.753196,0.519088,-2.03595,8.95823,-0.9201,50,6.10432,5.07848,-127.53067,-5.14525,-3.34691,26.67473,-17.44763,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,fc4ce210-4fb4-11f0-ba63-4db21546c997,86.71504,3.09727,NA,7.55875,NA,NA,NA,1.88924,2.56099,0.82997,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:05:18,2025-06-22T22:05:18Z,2025-06-22T22:05:18Z,GroundBall,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,e6f3d6e8-5ea9-4c36-ac94-89f04f068578,54.77255,-128.52504,13.33737,6.284,-4.49484,-8.72382,-1.11174,5.20325,-1.67345,54.823839,1.89989,116.47831,-16.91055,NA,NA,NA,NA,NA,NA,2.57966,6.80083,-22.74141,NA,NA,NA,NA,NA,NA,0.84094,-47.03416,-2.53982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-22,18:05:48,2,1,"Murphy, Colin",824515,Right,WIL_TOB,"Watkins, Grant",830787,Left,BOO_BIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.68631,-0.740026,-0.948224,2183.85224,191.431341,12:30:00,6.24518,1.48075,5.58233,-20.43635,16.65028,3.10732,3.85089,0.85406,79.39605,-4.598895,-0.393782,0.438309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84221,9.00111,-1.40121,50,6.16845,1.96541,-127.14571,-2.2834,-2.98915,28.20896,-17.56897,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,0e09e610-4fb5-11f0-ba63-4db21546c997,85.99517,NA,NA,8.29026,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:05:48,2025-06-22T22:05:48Z,2025-06-22T22:05:48Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,f15bee26-d75b-4375-b15f-95b3d85194f6,54.91378,-128.23126,14.10448,6.24331,-1.6073,-8.78449,-1.47906,2.08044,-1.49457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-22,18:06:03,2,2,"Murphy, Colin",824515,Right,WIL_TOB,"Watkins, Grant",830787,Left,BOO_BIG,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,87.69711,-2.28576,-1.182191,2286.266599,193.7172,12:30:00,6.18601,1.34012,5.7678,-21.12718,15.54395,3.49673,2.29652,0.53112,80.00222,-6.251214,-0.555876,0.435847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.12122,8.94705,-1.24442,50,5.98407,2.47673,-127.2062,-5.74093,-3.46189,27.06143,-17.57221,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,16ce9e80-4fb5-11f0-ba63-4db21546c997,86.48099,NA,NA,7.69489,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:06:03,2025-06-22T22:06:03Z,2025-06-22T22:06:03Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,180c2955-bade-4b8e-8381-63125cbbe489,54.73106,-128.20872,13.53072,6.1847,-5.08995,-8.78611,-1.33855,2.60497,-1.73094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-22,18:06:18,2,3,"Murphy, Colin",824515,Right,WIL_TOB,"Watkins, Grant",830787,Left,BOO_BIG,Undefined,1,Top,0,1,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,83.58911,-0.89516,-1.725896,1691.12195,224.816417,01:30:00,5.99153,1.59889,5.00098,-30.54502,11.16552,9.66367,2.60057,0.77435,75.92533,-6.505448,-0.01943,0.46483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.27634,6.22756,-1.44108,50,5.88123,3.21576,-121.08438,-2.99278,-7.77222,25.36546,-23.0006,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,1f9e2c60-4fb5-11f0-ba63-4db21546c997,81.08861,NA,NA,7.66379,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:06:18,2025-06-22T22:06:18Z,2025-06-22T22:06:18Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,41c7d393-346f-4d62-9875-8ab6eaffb2cd,55.49658,-122.23042,12.68273,5.99297,-1.95359,-11.5003,-1.5943,3.56692,-3.88611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-22,18:06:34,2,4,"Murphy, Colin",824515,Right,WIL_TOB,"Watkins, Grant",830787,Left,BOO_BIG,Undefined,1,Top,0,1,2,Undefined,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,66.57175,-3.15007,-5.359738,1426.451228,219.201416,01:15:00,6.17874,1.80456,5.17887,-53.02849,12.65792,8.49402,-1.2204,-2.54565,61.71763,-12.671628,-3.860265,0.583323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.01937,7.67654,-1.31166,50,5.84348,8.75009,-96.07979,-6.79404,-5.5911,15.76434,-25.04369,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,29513c70-4fb5-11f0-ba63-4db21546c997,64.61675,NA,NA,4.85412,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:06:34,2025-06-22T22:06:34Z,2025-06-22T22:06:34Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,f6ce47c8-98aa-4505-9496-0421c6988ddb,55.3259,-96.949700000000007,7.88217,6.18027,-5.41208,-12.52184,-1.80303,9.05862,-2.79555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-22,18:07:24,3,1,"Murphy, Colin",824515,Right,WIL_TOB,"Niehaus, Charlie",812171,Right,BOO_BIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,87.90722,-2.988683,-1.473175,2030.716553,195.368097,12:30:00,6.32989,1.10509,5.43344,-17.15198,19.7347,5.09311,2.09814,0.14956,80.38989,-6.2178,-0.566994,0.437126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.99354,11.15599,-0.97829,50,6.05342,3.05687,-127.42603,-7.19115,-4.91898,26.33383,-13.84262,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,47596080-4fb5-11f0-ba63-4db21546c997,86.22792,NA,NA,7.51733,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:07:24,2025-06-22T22:07:24Z,2025-06-22T22:07:24Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,79e5fbc9-1ded-424f-9d80-f17a6f1f25e3,55.06717,-128.46894,13.16692,6.32736,-6.64293,-6.92131,-1.10321,3.25168,-2.45949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-22,18:08:07,4,1,"Murphy, Colin",824515,Right,WIL_TOB,"Basler, Payton",1000275301,Left,BOO_BIG,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.16471,1.15611,-0.24181,1688.370155,236.623602,02:00:00,6.10523,1.68698,5.11869,-35.86014,5.62488,6.60819,4.20611,2.00987,76.20024,-5.394984,0.927581,0.463572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.34146,2.88358,-1.66956,50,6.18626,0.22184,-120.69692,1.12254,-4.94217,22.90947,-27.90912,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,61083c90-4fb5-11f0-ba63-4db21546c997,81.30872,NA,NA,6.96446,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:08:07,2025-06-22T22:08:07Z,2025-06-22T22:08:07Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,6e305f48-0899-425f-9c40-fc03474a8a27,55.38113,-121.71403,11.45474,6.10892,2.36161,-13.95456,-1.68428,0.44125,-2.47108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-22,18:08:23,4,2,"Murphy, Colin",824515,Right,WIL_TOB,"Basler, Payton",1000275301,Left,BOO_BIG,Undefined,1,Top,1,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.23345,-2.294727,-1.415135,2083.713024,198.504871,12:30:00,6.2024,1.26927,5.54847,-20.92777,14.49268,4.48792,2.31218,0.32054,82.0561,-6.185388,-0.614667,0.42835,70.10536,60.255839,-99.174629,5432.836254,NA,NA,NA,NA,40.83199,NA,NA,-2.65398,8.27441,-1.14983,50,5.98987,3.00512,-129.51523,-5.89946,-4.52958,25.83573,-18.052,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,6a6d7ac0-4fb5-11f0-ba63-4db21546c997,87.99456,59.13837,NA,7.17735,NA,NA,NA,1.05723,2.27312,-0.3167,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:08:23,2025-06-22T22:08:23Z,2025-06-22T22:08:23Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,1d70df1f-a6ea-4a5f-a4ab-b0bb49269147,54.95251,-130.49942,12.91786,6.20151,-5.21178,-9.026,-1.2676,3.17767,-2.26479,NA,1.05723,-8.1338,-3.14965,-0.46245000000000003,0.47003,-0.79184,1.09774,-0.83297,0.25202,2.27312,89.27457,-28.97199,3.74667,-1.18367,1.23935,-1.64896,1.23117,-0.36609,-0.3167,-50.36007,5.60416,-1.83781,0.84797,-1.23936,1.72441,-1.30046,0.38994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-22,18:08:46,4,3,"Murphy, Colin",824515,Right,WIL_TOB,"Basler, Payton",1000275301,Left,BOO_BIG,Undefined,1,Top,1,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.8139,-1.364237,-1.953829,2077.189175,189.48328,12:15:00,6.22048,1.1009,5.51217,-18.83623,16.52812,2.56201,3.37405,-0.51342,81.61124,-4.912044,-1.497612,0.42801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86618,9.09083,-0.93222,50,6.08909,4.32688,-130.21283,-3.71433,-3.18562,28.8092,-16.65559,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,77ea6410-4fb5-11f0-ba63-4db21546c997,88.06431,NA,NA,8.20266,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:08:46,2025-06-22T22:08:46Z,2025-06-22T22:08:46Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,cfad649c-27c4-4fb4-9d6d-df60fc70cd6e,54.9863,-131.3114,14.4046,6.21862,-3.07921,-8.3278,-1.09953,4.44836,-1.59281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-22,18:09:03,4,4,"Murphy, Colin",824515,Right,WIL_TOB,"Basler, Payton",1000275301,Left,BOO_BIG,Undefined,1,Top,1,2,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,83.6523,0.14015,-1.777782,1775.4669490000001,240.571209,02:00:00,5.94824,1.61344,5.30172,-34.31502,6.91367,9.72292,3.2203,0.75415,75.83707,-6.177343,-0.051612,0.462137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.37626,3.8602,-1.45906,50,5.93641,3.33868,-121.23518,-0.92295,-7.92364,25.85808,-26.48481,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,82122ef0-4fb5-11f0-ba63-4db21546c997,81.56112,NA,NA,7.81524,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:09:03,2025-06-22T22:09:03Z,2025-06-22T22:09:03Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,0edf033c-2c8b-44ae-ad5a-89d1ae1d53f7,55.19603,-122.33841,12.92904,5.95169,0.20702,-13.24241,-1.60871,3.67675,-3.96182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-22,18:09:21,4,5,"Murphy, Colin",824515,Right,WIL_TOB,"Basler, Payton",1000275301,Left,BOO_BIG,Undefined,1,Top,1,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.90133,0.767656,-1.184663,1409.386635,235.305577,01:45:00,6.00407,1.37112,5.14868,-33.19655,6.91654,8.04902,3.96063,0.92637,77.10962,-5.328862,0.240166,0.455842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.33028,3.63146,-1.26666,50,6.05073,2.18378,-123.07977,0.42672,-6.60126,25.84369,-26.63811,WIL_TOB,BOO_BIG,FlemingStadium,CPL,CPL,20250622-FlemingStadium-1,8d24f610-4fb5-11f0-ba63-4db21546c997,82.68751,NA,NA,7.79171,NA,NA,NA,NA,NA,NA,34590e6c-049f-40b7-acd7-e16a5c236903,2025-06-22,22:09:21,2025-06-22T22:09:21Z,2025-06-22T22:09:21Z,NA,v3,NA,NA,NA,"McAllister, Levi",808813,Right,WIL_TOB,d379037c-63bc-4079-9f3b-054b1ce6b0a6,55.3494,-124.19793,12.92185,6.00733,1.57925,-13.31906,-1.36733,2.46939,-3.30063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
