player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-08-04,18:35:18,1,1,"Santana, Elden",1000294800,Right,NWL_FDL,"Malone, Noah",832474,Right,WAU_WOO,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.40966,-1.898937,-0.93334,2012.301934,232.150543,01:45:00,6.16855,1.39025,5.32733,-24.40651,13.91024,16.29658,2.35183,1.87237,79.00881,-6.416071,1.962818,0.445518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.44544,7.88894,-1.31804,50,5.97941,1.32983,-125.34966,-4.99626,-13.40745,25.86061,-19.65006,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,adc46ed0-718b-11f0-b9f4-afce13275ddd,84.60355,NA,NA,7.40085,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:35:18,2025-08-04T23:35:18Z,2025-08-04T23:35:18Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,1d5fa40f-4d30-4c5e-ac24-8e8e164f138b,55.17495,-126.41278,12.93031,6.1682,-4.18845,-9.82503,-1.38404,1.88101,-6.70372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-08-04,18:35:33,1,2,"Santana, Elden",1000294800,Right,NWL_FDL,"Malone, Noah",832474,Right,WAU_WOO,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,78.96944,0.219172,-1.627009,2286.173183,200.420557,12:45:00,6.11814,1.59855,4.75067,-43.21526,4.02323,0.88969,2.72484,0.12912,71.79498,-7.612834,-1.470595,0.494674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.93441,2.38673,-1.43579,50,6.10236,3.21019,-114.36366,-1.1462,-1.22548,23.00885,-29.04386,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,b7278a20-718b-11f0-b9f4-afce13275ddd,76.19649,NA,NA,7.17447,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:35:33,2025-08-04T23:35:33Z,2025-08-04T23:35:33Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,d7527c52-03ea-46e9-b433-e4fd3adbaad4,55.74979,-115.51467,11.50443,6.12336,0.30671,-14.52193,-1.59791,3.2715,-0.61274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-08-04,18:35:48,1,3,"Santana, Elden",1000294800,Right,NWL_FDL,"Malone, Noah",832474,Right,WAU_WOO,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.55138,-2.436854,-2.546859,2446.43297,104.673475,09:30:00,6.154,1.41605,4.78162,-42.76329,3.49449,-7.73528,0.27676,-1.64437,73.4181,-10.090332,-3.907782,0.489513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15693,2.73075,-1.15392,50,5.87235,5.43866,-115.20726,-6.46132,4.23015,22.00431,-28.51497,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,bfafd5d0-718b-11f0-b9f4-afce13275ddd,76.99992,NA,NA,6.13328,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:35:48,2025-08-04T23:35:48Z,2025-08-04T23:35:48Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,d41ddfb1-826e-4426-b001-499bbfb8f0eb,55.72348,-116.29529,11.00216,6.15698,-5.05136,-14.25749,-1.41767,5.2295,2.11508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-08-04,18:36:07,1,4,"Santana, Elden",1000294800,Right,NWL_FDL,"Malone, Noah",832474,Right,WAU_WOO,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.98924,-0.705113,-2.635455,2372.309039,80.288722,08:45:00,6.06547,1.52577,4.87202,-46.24597,0.24783,-8.85111,1.54362,-1.70763,72.16305,-9.073537,-4.193872,0.49076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4463,0.87134,-1.25832,50,5.95718,5.70328,-115.62746,-3.12865,4.55556,26.30365,-31.02226,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,cb9c0d00-718b-11f0-b9f4-afce13275ddd,76.80424,NA,NA,7.82619,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:36:07,2025-08-04T23:36:07Z,2025-08-04T23:36:07Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,da3e8e29-daa5-45f2-97dd-8d4a88ee7377,55.62778,-116.9007,13.15183,6.07228,-1.627,-15.51113,-1.52905,5.48277,2.27778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-08-04,18:36:22,1,5,"Santana, Elden",1000294800,Right,NWL_FDL,"Malone, Noah",832474,Right,WAU_WOO,Undefined,1,Top,0,3,1,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,88.22578,0.406197,-0.576834,2073.048841,228.558926,01:30:00,6.22196,1.36075,5.28745,-21.85568,14.86461,15.52473,4.78214,2.11276,80.49201,-3.668843,2.177798,0.436139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.81969,7.65674,-1.3194,50,6.2433,0.56427,-128.02901,0.1559,-12.98227,26.3717,-19.46229,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,d453f430-718b-11f0-b9f4-afce13275ddd,86.42306,NA,NA,7.73377,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:36:22,2025-08-04T23:36:22Z,2025-08-04T23:36:22Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,a86769ed-7fc0-4357-8aef-84afa5c2b3b4,55.21215,-129.09815,13.18585,6.22098,0.94492,-9.73114,-1.35295,1.09059,-6.49114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-08-04,18:36:59,2,1,"Santana, Elden",1000294800,Right,NWL_FDL,"Smith-Johnson, Christian",1000093678,Right,WAU_WOO,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,Bunt,Single,0,0,NA,86.90743,-2.505486,-3.00492,2069.603281,223.710918,01:30:00,6.20871,1.18371,5.18466,-20.4754,17.34749,15.49052,2.14029,-0.3553,80.07018,-6.297714,-0.264447,0.442638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.58926,9.66831,-0.9168,50,5.96021,5.94446,-125.99897,-6.22486,-13.91947,23.66425,-16.50586,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,ea196110-718b-11f0-b9f4-afce13275ddd,85.15406,NA,NA,6.83726,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:36:59,2025-08-04T23:36:59Z,2025-08-04T23:36:59Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,aa7ee93a-b7f8-4d0e-b7c4-e45f4015d705,55.32017,-126.99423,11.83213,6.20742,-5.53066,-8.25293,-1.17912,6.52989,-6.95973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-08-04,18:37:36,3,1,"Santana, Elden",1000294800,Right,NWL_FDL,"Schlotterback, Dylan",1000393126,Right,WAU_WOO,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,86.71089,-2.469272,-2.771174,2003.541712,224.91789,01:30:00,6.27524,1.302,5.24633,-20.81643,17.16714,15.94599,2.21573,0.02441,79.71605,-6.331672,0.054102,0.443577,73.52841,60.456932,45.904947,5307.888192,NA,NA,NA,NA,47.88533,NA,NA,-8.75126,9.59961,-1.05977,50,6.03289,5.39172,-125.70946000000001,-6.1325,-14.08327,24.12934,-16.72551,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,0021f170-718c-11f0-b9f4-afce13275ddd,84.97375,67.25899,NA,6.99484,NA,NA,NA,1.312,2.04528,0.73696,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:37:36,2025-08-04T23:37:36Z,2025-08-04T23:37:36Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,ae225932-0938-4f30-9fa2-2a3f27d41032,55.25756,-126.7146,12.06467,6.27383,-5.43577,-8.36275,-1.29659,5.97838,-7.04164,220.652258,1.312,37.00133,-14.68293,4.76884,-1.27893,0.32971,-0.10681,0.04023,-0.00917,2.04528,93.82052,-31.80479,4.54817,-0.83889,0.1426,-0.0523,0.03018,-0.00851,0.73696,38.18901,3.31959,-3.04843,1.13847,-0.3425,0.08627,-0.01537,0.00114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-08-04,18:38:02,3,2,"Santana, Elden",1000294800,Right,NWL_FDL,"Schlotterback, Dylan",1000393126,Right,WAU_WOO,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,79.23107,-0.763597,-1.546985,2299.966398,154.102846,11:15:00,6.00909,1.51485,4.7963,-38.75368,7.20516,-2.85862,2.05568,-0.18975,73.46989,-7.751078,-2.050016,0.487928,58.46574,62.57904,122.684192,5319.54615,-56.82547,55.23774,94.18519,144.03631,61.24541,121.302962,4.112088,1.03284,4.10957,-1.35788,50,5.89914,3.22457,-115.02002,-2.93621,1.39733,19.35681,-26.61426,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,100ccd80-718c-11f0-b9f4-afce13275ddd,77.24997,73.3435,NA,5.76118,NA,NA,NA,2.03144,2.19681,0.3544,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:38:02,2025-08-04T23:38:02Z,2025-08-04T23:38:02Z,Popup,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,d2e476c3-4f00-4d25-89b3-a1b9faac2a89,55.70764,-115.97659,9.67841,6.01174,-1.62099,-13.30713,-1.51552,3.15552,0.69866,5.553527,2.03084,-21.3086,0.45403,0.20753,-0.14081,0.04452,-0.00349,-8.2e-4,1.2e-4,2.19835,76.07153,-23.21085,1.7426,0.15955,-0.30088,0.10865,-0.01772,0.00112,0.35532,33.21184,-0.17783,-0.48004,0.23876,-0.06437,0.00227,0.00189,-2.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-08-04,18:38:21,3,3,"Santana, Elden",1000294800,Right,NWL_FDL,"Schlotterback, Dylan",1000393126,Right,WAU_WOO,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,2,0,NA,79.13121,1.464935,-0.888667,2482.095027,70.469434,08:15:00,6.09669,1.37074,4.63104,-47.6607,-1.12646,-7.03867,3.51794,-0.0606,72.94997,-7.095347,-2.123157,0.490973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23319,-0.58126,-1.27261,50,6.20287,2.07982,-114.82728,1.13572,4.34063,20.16185,-32.95443,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,1b2a1bf0-718c-11f0-b9f4-afce13275ddd,76.77087,NA,NA,6.18124,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:38:21,2025-08-04T23:38:21Z,2025-08-04T23:38:21Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,49e72a52-0da3-4087-bdd3-25f1a96fcb2c,55.87369,-115.85402,10.08092,6.1023,2.81391,-16.47722,-1.3729,1.85878,2.17032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-08-04,18:38:56,4,1,"Santana, Elden",1000294800,Right,NWL_FDL,"Soliz, Max",695767,Right,WAU_WOO,Undefined,1,Top,2,0,0,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.08222,-0.565293,-2.648604,2057.864418,219.627706,01:15:00,6.2222,1.25836,5.44945,-20.36855,16.27521,12.51091,3.99498,-0.18064,80.41554,-4.382357,-0.424557,0.435684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.00701,8.69241,-1.03305,50,6.15845,5.35369,-127.7562,-1.93162,-11.59082,26.10451,-17.79527,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,30183ba0-718c-11f0-b9f4-afce13275ddd,86.5133,NA,NA,7.66668,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:38:56,2025-08-04T23:38:56Z,2025-08-04T23:38:56Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,8eb9f119-d3c6-4545-b9d1-1bb91f5e96ae,55.05196,-128.78433,13.05226,6.22073,-1.23075,-8.89763,-1.2529,5.81019,-5.79541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-08-04,18:39:10,4,2,"Santana, Elden",1000294800,Right,NWL_FDL,"Soliz, Max",695767,Right,WAU_WOO,Undefined,1,Top,2,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.99911,-1.742244,-2.174062,2693.012499,49.624972,07:45:00,6.16477,1.36704,4.91406,-47.96286,-2.1187,-4.33547,0.51869,-1.05106,73.22475,-10.358648,-2.939829,0.487319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50268,-0.21622,-1.15066,50,5.95387,4.57465,-115.8607,-5.27212,2.01721,24.15345,-32.46431,NWL_FDL,WAU_WOO,HerrBakerField,NWL,NWL,20250804-HerrBakerField-1,3878b400-718c-11f0-b9f4-afce13275ddd,77.34656,NA,NA,6.77436,NA,NA,NA,NA,NA,NA,6250e66e-2974-4fc0-be59-3b2f9194d251,2025-08-04,23:39:10,2025-08-04T23:39:10Z,2025-08-04T23:39:10Z,NA,v3,NA,NA,NA,"Fitz, Jonathan",812192,Right,NWL_FDL,e8807531-7fd6-475f-85bd-b216422c93ac,55.5906,-117.02037,12.07673,6.16958,-3.71343,-16.23215,-1.36798,4.47779,1.00861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
