player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-08-04,12:44:27,1,1,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Lombard, Jacob",10173063,Right,EAS_COA182,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.62104,-3.961967,-1.264899,2384.674267,209.477418,01:00:00,6.26607,0.63818,6.27289,-13.5369,18.51426,9.90615,1.4789,0.29744,85.18955,-6.550901,0.526013,0.407468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.47311,10.96823,-0.54925,50,5.9658,2.55632,-134.37996,-9.66625,-10.05865,27.73725,-12.01629,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,ab6bf620-715a-11f0-a524-21a7fa76457d,92.50408,NA,NA,7.43149,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:44:27,2025-08-04T17:44:27Z,2025-08-04T17:44:27Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,43a0f903-146e-4931-8541-ea7d043c9b27,54.22756,-135.24975,13.86863,6.26301,-9.28944,-6.00815,-0.63436,2.87174,-5.02932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-08-04,12:44:39,1,2,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Lombard, Jacob",10173063,Right,EAS_COA182,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.75846,-3.32903,-0.176415,2474.555091,183.979746,12:15:00,6.31046,0.51541,6.12031,-12.18261,20.6071,1.36362,2.21401,0.46595,84.33362,-5.677322,0.069393,0.412136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7502,11.83009,-0.5026,50,6.04867,0.35297,-133.21194,-8.05393,-1.35519,27.195430000000002,-10.8038,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,b2671220-715a-11f0-a524-21a7fa76457d,91.45639,NA,NA,7.42484,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:44:39,2025-08-04T17:44:39Z,2025-08-04T17:44:39Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,07b7fb9a-1ead-4088-a5f4-d9adda06ff07,54.37971,-134.10309,13.59772,6.30678,-7.69991,-5.4019,-0.51489,0.39738,-0.6776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-08-04,12:44:52,1,3,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Lombard, Jacob",10173063,Right,EAS_COA182,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.36964,-3.99751,-1.9482680000000001,2426.364855,193.705704,12:30:00,6.21839,0.43502999999999997,6.36326,-15.26741,16.11253,3.7004,1.25917,-1.05024,86.13689,-6.891027,-1.27845,0.403179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42043,9.71394,-0.29563,50,5.92112,4.45421,-135.44716,-9.89924,-4.53177,27.41219,-13.98678,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,b9c97b70-715a-11f0-a524-21a7fa76457d,93.48819,NA,NA,7.23276,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:44:52,2025-08-04T17:44:52Z,2025-08-04T17:44:52Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,51e0211a-9f0c-44e7-b12c-c20e18ea3e70,54.13673,-136.28179,13.7061,6.21604,-9.47338,-6.99339,-0.43335,4.5922,-2.26588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-08-04,12:45:08,1,4,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Lombard, Jacob",10173063,Right,EAS_COA182,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,81.21867,-0.303178,-0.198434,2810.477267,78.8732,08:45:00,6.22724,0.6255,5.50113,-45.67999,-2.86154,-20.99907,2.137,-1.31003,75.09328,-8.601943,-3.947435,0.470963,66.93333,32.554946,124.815401,5529.978613,-72.34305,34.13896,82.86371,183.27136,59.10995,138.436161,2.870864,10.60642,-1.01035,-0.59344,50,6.16964,1.23939,-118.06736,-2.21347,14.99008,22.22185,-33.60201,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,c3e3ffe0-715a-11f0-a524-21a7fa76457d,80.0327,34.70688,NA,6.12539,NA,NA,NA,0.82873,2.04386,1.34619,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:45:08,2025-08-04T17:45:08Z,2025-08-04T17:45:08Z,FlyBall,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,01a6eeab-b6b4-48ed-82c7-cbb1f745ed22,55.00288,-119.00524,11.11092,6.23313,-0.79528,-16.801,-0.6324,0.60673,7.49504,311.047481,0.82869,-47.23951,-1.61737,0.78661,-0.25734,0.11263,-0.0355,0.00606,-4.3e-4,2.04362,52.83649,-24.53844,3.25525,-0.96534,0.40512,-0.11656,0.01757,-0.00108,1.34562,67.95366,-9.48509,0.33885,-0.11078,-0.14082,0.13243,-0.03816,0.00383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-08-04,12:45:30,1,5,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Lombard, Jacob",10173063,Right,EAS_COA182,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.55971,-1.167385,-0.391014,2430.23349,188.515109,12:15:00,6.40293,0.13397,6.18901,-18.21859,15.03863,2.07902,3.80667,-0.05382,82.87731,-4.647689,-0.015683,0.415063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19083,8.4739,-0.10548,50,6.30565,0.81828,-132.9121,-3.23889,-2.10722,31.35147,-17.17896,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,d10a8bd0-715a-11f0-a524-21a7fa76457d,90.81131,NA,NA,8.6824,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:45:30,2025-08-04T17:45:30Z,2025-08-04T17:45:30Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,deb12b4e-98c6-4ba9-a11b-6370f6812515,54.30823,-133.92448,15.67574,6.40128,-2.68416,-8.58948,-0.133,0.88633,-1.05361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-08-04,12:45:49,1,6,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Lombard, Jacob",10173063,Right,EAS_COA182,Undefined,1,Top,0,2,2,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,76.79928,2.982087,1.177576,2384.255225,20.625338,06:45:00,6.24278,0.4983,5.68179,-59.22169,-11.44587,-4.85922,4.09056,1.19123,70.48853,-7.828867,0.308531,0.49748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79382,-6.19252,-0.5944,50,6.45687,-2.10947,-111.4894,3.85821,3.51462,20.14014,-39.9643,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,dbfc3660-715a-11f0-a524-21a7fa76457d,75.76677,NA,NA,6.31075,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:45:49,2025-08-04T17:45:49Z,2025-08-04T17:45:49Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,533f407e-473b-4110-997b-e42d4bc0803a,54.82221,-112.35713,10.07007,6.25355,5.58007,-19.98215,-0.50025,-2.2609,1.75731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-08-04,12:46:23,2,1,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Berry, Jax",10876712,Right,EAS_COA182,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.74092,-2.340789,-2.32675,2487.252767,202.450371,12:45:00,6.29542,0.55153,6.1997,-21.28285,12.34662,4.65555,2.358,-1.20959,83.02909,-6.342594,-1.486739,0.41738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.06311,7.38595,-0.37871,50,6.1084,5.15776,-131.67569,-6.04577,-5.37096,28.29735,-19.22329,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,f0863d10-715a-11f0-a524-21a7fa76457d,90.30727,NA,NA,7.71183,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:46:23,2025-08-04T17:46:23Z,2025-08-04T17:46:23Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,e0e7a236-8068-4793-be53-81509adea903,54.29958,-132.59645,14.14867,6.29494,-5.42027,-9.61164,-0.54939,5.33252,-2.68548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.72979,1.968665,0.719104,1.249561,-0.87724,2.09894,1.2684,-0.83154,6.30138,1.88491,127.28056,0.54454,-7.25128,-0.6525,117.18834,-12.02294,6.28854,7.76186,-9.88344,1.86157,-9.00691,1.39415,High,High,High,NA,NA,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-08-04,12:47:05,2,2,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Berry, Jax",10876712,Right,EAS_COA182,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.33265,-2.085731,-1.722896,2446.946064,207.412983,01:00:00,6.2836,0.54492,6.05603,-17.92048,15.12308,7.22378,2.85786,-0.44836,83.31471,-5.503439,-0.422566,0.413728,73.45349,13.831264,164.484111,3417.606866,-108.05192,9.05804,20.61014,145.09934,58.10327,170.819655,1.64981,-4.16433,8.74339,-0.41418,50,6.11159,3.68702,-133.77494,-5.40158,-7.45003,32.29492,-16.53207,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,08faeb70-715b-11f0-a524-21a7fa76457d,91.10443,12.09695,NA,9.01794,NA,NA,NA,0.09728,2.64486,0.44308,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:47:05,2025-08-04T17:47:05Z,2025-08-04T17:47:05Z,LineDrive,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,ff3547ba-0829-4fd7-b064-6b5929cbd3e0,54.4365,-134.84171,16.14746,6.281,-4.85549,-8.26604,-0.54004,3.93311,-3.72502,269.300959,0.09728,-100.79552,9.87538,-1.05165,0.08916,0.02107,-0.00817,0.0016,-1.5e-4,2.64486,25.75468,-18.49915,1.45164,-0.23315,0.04122,-0.00473,6.9e-4,-1e-4,0.44308,27.98317,-12.00629,2.96943,-0.73995,0.1471,-0.02722,0.00404,-3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-08-04,12:47:29,2,3,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Berry, Jax",10876712,Right,EAS_COA182,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,81.09164,-1.671286,-1.071129,2718.117583,107.562678,09:30:00,6.17142,0.71175,5.40689,-37.6214,6.2,-14.7543,1.46964,-1.52151,73.84919,-8.556436,-3.698448,0.476447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00528,4.14874,-0.60615,50,5.99683,2.81654,-117.50528,-4.7187,9.67113,24.88177,-26.44648,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,17be3770-715b-11f0-a524-21a7fa76457d,79.11152,NA,NA,7.24245,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:47:29,2025-08-04T17:47:29Z,2025-08-04T17:47:29Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,ebd6f23d-25c8-4d3d-94ef-b4eab30c9a53,55.09008,-118.57821,12.44089,6.17572,-3.5783,-13.22324,-0.71861,2.39951,4.83556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-08-04,12:47:48,2,4,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Berry, Jax",10876712,Right,EAS_COA182,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,FieldersChoice,1,0,NA,80.99911,0.722731,0.576395,2828.622415,76.579485,08:30:00,6.22809,0.62352,5.56363,-47.21861,-4.16788,-22.96466,2.96848,-0.7517,74.54006,-7.888308,-3.526535,0.472239,60.25158,-20.945514,12.421329,NA,NA,NA,NA,9.41793,9.29321,14.588979,0.092038,11.85709,-1.97276,-0.65747,50,6.25901,-0.28406,-117.73394,-0.14085,16.61901,22.64786,-34.93911,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,23436f70-715b-11f0-a524-21a7fa76457d,79.81648,2.99704,NA,6.45905,NA,NA,NA,1.70115,2.99704,0.72263,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:47:48,2025-08-04T17:47:48Z,2025-08-04T17:47:48Z,GroundBall,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,94294149-8b5c-4709-b943-f345e4723dde,54.94081,-118.68057,11.32393,6.23438,1.31953,-17.46955,-0.63108,-0.9787,8.30951,200.740096,1.70116,80.59592,-0.56158,NA,NA,NA,NA,NA,NA,2.99705,-31.59174,-10.56825,NA,NA,NA,NA,NA,NA,0.72263,17.75123,1.86482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-08-04,12:48:23,3,1,"Armstrong, Ethan",1000111651,Right,EAS_COA270,"Collazo, Juriel",10870491,Right,EAS_COA182,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.44212,0.708352,0.278629,2753.680013,82.827048,08:45:00,6.20337,0.61599,5.37446,-45.12861,-1.58516,-24.77655,3.1068,-1.18749,73.82496,-7.54275,-4.130785,0.474934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.42831,-0.51177,-0.62327,50,6.23537,0.47362,-118.11804,-0.15302,17.27246,25.91617,-32.88529,EAS_COA270,EAS_COA182,HooverMetropolitan,East Coast Pro,ECP,20250804-HooverMetropolitan-2,381c5970-715b-11f0-a524-21a7fa76457d,79.36359,NA,NA,7.61716,NA,NA,NA,NA,NA,NA,1d11316b-4830-43e2-a870-565fd83b43be,2025-08-04,17:48:23,2025-08-04T17:48:23Z,2025-08-04T17:48:23Z,NA,v3,NA,NA,NA,"McElvain, Evan",10086441,Right,EAS_COA270,8dac3706-58c2-47bb-ab43-3c1b46e99b4b,55.12599,-119.23742,12.95808,6.21131,1.26738,-16.44264,-0.62761,-0.27242,8.63623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
