player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-05,19:30:10,1,1,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.75139,0.282521,-5.705805,2274.557062,255.466309,02:30:00,5.2112,2.49242,7.32722,-27.62769,5.56181,17.19871,3.1654,-1.24604,81.54606,-4.988296,-2.555152,0.414641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.87001,3.28603,-2.17751,50,5.21988,12.37933,-130.04443,-0.07822,-18.51663,28.61092,-26.57641,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,05fc5b40-4265-11f0-9f01-adb3c661cec8,90.90385,NA,NA,8.20534,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:30:10,2025-06-05T23:30:10Z,2025-06-05T23:30:10Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,7e5c547e-6f26-409c-b331-a9e6e7492792,53.16918,-130.73982,14.30546,5.21393,0.56772,-13.28821,-2.48386,12.82938,-9.25831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-05,19:30:23,1,2,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,0,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.18344,-0.543757,-4.693358,2323.878774,260.411857,02:45:00,5.16341,2.47165,7.27946,-28.90588,3.94673,16.91808,2.26124,-0.37188,82.098,-6.041268,-1.586974,0.412531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.40717,2.66618,-2.20949,50,5.12527,10.12959,-130.86129,-2.03224,-17.93925,29.1481,-27.57826,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,0e0abc00-4265-11f0-9f01-adb3c661cec8,91.36879,NA,NA,8.08544,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:30:23,2025-06-05T23:30:23Z,2025-06-05T23:30:23Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,140eeae4-1a69-4785-8b0f-201cf18e4c59,53.21684,-131.57586,14.57405,5.1668,-1.35616,-13.78913,-2.46321,10.56937,-8.96962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-05,19:30:39,1,3,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.30541,0.432927,-2.889536,2394.632406,214.543982,01:15:00,5.24016,2.39668,7.31031,-21.19474,11.78339,7.44985,3.86567,0.40405,82.06651,-3.641145,-1.518445,0.413318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.75603,6.55843,-2.23673,50,5.25811,6.3013,-129.93941,0.48194,-8.17872,25.74349,-20.89579,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,173e62e0-4265-11f0-9f01-adb3c661cec8,91.19473,NA,NA,7.2389,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:30:39,2025-06-05T23:30:39Z,2025-06-05T23:30:39Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,46fbfd48-1cee-4b94-a796-6e45923a1361,53.18609,-130.56911,12.87175,5.24007,0.99306,-10.4479,-2.39331,6.50135,-4.08936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-05,19:30:52,1,4,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.77581,1.201644,-2.719656,2881.779307,93.814458,09:15:00,5.11448,2.55725,6.64226,-40.54809,2.54185,-17.03127,2.83679,-1.35332,72.74886,-6.393541,-5.810432,0.472454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05449,1.44705,-2.36813,50,5.17994,6.09848,-115.82964,1.3028,10.8219,23.86177,-30.2298,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,1f193080-4265-11f0-9f01-adb3c661cec8,79.78018,NA,NA,7.02695,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:30:52,2025-06-05T23:30:52Z,2025-06-05T23:30:52Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,8a4063ed-92c7-476b-826e-8dc6cfbcc1c0,53.85365,-116.62081,11.93089,5.12013,2.30512,-15.1149,-2.56439,5.73967,5.41095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-05,19:31:07,1,5,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.29764,-1.356,-5.777586,2419.530742,272.845735,03:00:00,5.18075,2.38214,7.42513,-32.56852,0.18524,18.54532,1.23755,-1.2997,82.2084,-7.528571,-2.368764,0.411909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.76426,0.87488,-2.07332,50,5.10011,12.59785,-130.82675,-3.99184,-20.21944,29.74468,-30.67035,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,28782d20-4265-11f0-9f01-adb3c661cec8,91.50662,NA,NA,8.08924,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:31:07,2025-06-05T23:31:07Z,2025-06-05T23:31:07Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,07d443cd-b01f-4be2-882e-740425eff0a0,53.07285,-131.52354,14.87234,5.1852,-3.27337,-15.33518,-2.37398,13.07151,-10.10972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-05,19:31:23,1,6,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Pettay, Greg",702553,Right,OCE_STA6,Undefined,1,Top,0,3,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,78.568,1.027302,-1.892995,2828.070948,83.137704,08:45:00,5.09739,2.60562,6.40992,-45.67853,-0.93646,-19.8606,2.23597,-0.79049,71.81382,-7.462678,-5.488571,0.481426,70.65956,3.551397,21.129295,2429.891185,NA,NA,NA,60.13495,56.14978,23.794153,0.615946,9.78654,-0.36618,-2.46186,50,5.15053,4.46237,-114.15426,0.728,12.77005,23.19706,-32.65187,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,31d2e400-4265-11f0-9f01-adb3c661cec8,78.29334,2.64246,NA,6.75418,NA,NA,NA,-0.00598,2.00526,0.89712,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:31:23,2025-06-05T23:31:23Z,2025-06-05T23:31:23Z,GroundBall,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,f0024284-fa2d-4015-b76b-783aafb71257,54.08833,-114.98204,11.59853,5.10376,1.89317,-16.32594,-2.61297,4.00667,6.38503,264.960385,0.01014,96.1282,-11.10078,NA,NA,NA,NA,NA,NA,2.01564,6.19425,-15.39574,NA,NA,NA,NA,NA,NA,0.89137,37.4119,0.87453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-05,19:32:03,2,1,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Seidel, Samuel",1000240501,Left,OCE_STA6,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.39251,-0.090979,-6.496246,2275.865855,267.346523,03:00:00,5.11501,2.81013,7.33511,-32.32844,2.07394,19.21544,2.33826,-1.48162,80.15145,-6.228997,-2.981585,0.422149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.22568,1.56555,-2.45188,50,5.10223,13.8797,-127.8784,-1.07232,-20.07182,28.47009,-29.60374,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,499c1020-4265-11f0-9f01-adb3c661cec8,89.28709,NA,NA,8.24105,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:32:03,2025-06-05T23:32:03Z,2025-06-05T23:32:03Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,0cad1776-2c7f-495d-b3dc-c2bb50ce22d7,53.16154,-128.58034,14.23504,5.11967,-0.34243,-14.80187,-2.80019,14.37458,-10.03591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.26679,1.932086,0.620954,1.311133,-2.20885,1.92684,1.66263,-2.60119,6.15425,0.73687,127.27505,1.65429,0.15118,-2.48316,109.93119,-8.46746,6.16356,11.30401,-11.25722,0.70396,-2.93248,1.94361,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-05,19:32:30,2,2,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Seidel, Samuel",1000240501,Left,OCE_STA6,Undefined,1,Top,1,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.74832,-0.76929,-3.351605,2336.855847,255.770822,02:30:00,5.14095,2.62219,7.17906,-28.33092,4.60941,14.23709,2.08185,0.76866,82.45633,-6.135747,-0.735876,0.413081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.5376,3.01555,-2.43049,50,5.08804,7.14122,-130.50883,-2.52962,-14.7589,26.87464,-26.9611,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,59cd4400-4265-11f0-9f01-adb3c661cec8,91.24705,NA,NA,7.29199,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:32:30,2025-06-05T23:32:30Z,2025-06-05T23:32:30Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,1c319cbe-406a-4379-8379-17bcfa4492cf,53.31878,-131.19046,13.43732,5.14353,-1.8458,-13.48055,-2.61636,7.51556,-7.37945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-05,19:32:44,2,3,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Seidel, Samuel",1000240501,Left,OCE_STA6,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.63725,1.715445,0.28045,2794.452503,101.465423,09:30:00,4.90464,2.74197,6.39706,-38.9925,5.66307,-20.60777,3.23333,1.28257,71.47795,-5.599662,-3.453023,0.48096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7219,2.92225,-2.75391,50,5.01036,0.18614,-114.23381,2.31743,14.02884,22.96897,-28.35048,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,61f6a6d0-4265-11f0-9f01-adb3c661cec8,78.36914,NA,NA,7.1593,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:32:44,2025-06-05T23:32:44Z,2025-06-05T23:32:44Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,6ad49521-59b9-4f9d-93e7-db8ec17a2883,54.09861,-115.05496,11.48449,4.9094,3.33098,-14.17524,-2.7516,-0.3154,7.01442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-05,19:32:57,2,4,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Seidel, Samuel",1000240501,Left,OCE_STA6,Undefined,1,Top,1,2,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,88.31958,-0.435311,-4.262052,2305.284799,256.583648,02:30:00,5.11905,2.68899,7.27457,-28.87986,5.30048,17.52749,2.31764,0.28826,80.50818,-5.934827,-1.040992,0.420784,73.74445,37.651605000000004,-30.740279,5571.725688,87.53768,60.19129,-66.61132,237.55515,136.03931,-42.687371,4.059429,-10.69489,3.33154,-2.45177,50,5.08657,8.9604,-128.26773,-1.72825,-17.7231,27.84625,-26.65318,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,69be1380-4265-11f0-9f01-adb3c661cec8,89.5766,61.94271,NA,7.8114,NA,NA,NA,0.12218,2.23606,-0.23454,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:32:57,2025-06-05T23:32:57Z,2025-06-05T23:32:57Z,FlyBall,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,819fe5ed-d639-4dbe-983e-16ebca7d7fb6,53.22324,-128.96558,13.92312,5.12151,-1.0603,-13.32659,-2.68189,9.40456,-8.86155,137.28161,0.12284,73.58924,-16.25769,4.3083,-1.07325,0.30729,-0.09208,0.01749,-0.00132,2.23752,66.02601,-20.22003,0.87356,0.47947,-0.37611,0.12535,-0.01983,0.0012,-0.23548,-43.74624,0.10004,1.05164,-0.59663,0.23242,-0.05896,0.00812,-4.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-05,19:33:35,3,1,"Helmick, Tristan",1000271314,Right,NOR_ADA,"Durand, Brandyn",1000090563,Right,OCE_STA6,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.58542,0.096563,-4.757994,2586.793172,157.55507,11:15:00,4.99359,2.62446,6.87534,-32.68817,5.05622,-1.6152,2.35788,-1.85599,77.68963,-6.043259,-5.051506,0.442178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46366,3.04559,-2.32194,50,4.98841,10.26805,-122.6819,-0.6938,-0.70709,24.13579,-27.52967,NOR_ADA,OCE_STA6,NorthAdams,NECBL,NECL,20250605-NorthAdams-1,806b6f60-4265-11f0-9f01-adb3c661cec8,85.2426,NA,NA,6.89579,NA,NA,NA,NA,NA,NA,c4292dc4-8c68-4022-b3c4-3b0bd3101568,2025-06-05,23:33:35,2025-06-05T23:33:35Z,2025-06-05T23:33:35Z,NA,v3,NA,NA,NA,"Toth, Michael",832074,Right,NOR_ADA,215c953b-dcbe-49ce-9e97-3cc78427227d,53.62067,-123.39215,12.06789,4.9969,0.11633,-13.76484,-2.62441,10.28887,-0.35354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
