player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-24,18:34:52,1,1,"Roberts, David",1000435371,Left,MAR_BER,"Clavon, Bryce",815366,Right,BEN_ELK,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.747559999999993,-0.412017,1.359234,2109.235734,136.863846,10:30:00,6.05106,-1.86552,6.59427,-20.02005,13.53316,-11.5304,4.00512,-1.5808,81.57303,-4.265429,-0.737849,0.416906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43378,7.58878,1.77657,50,6.01445,-2.65141,-131.72881,-1.49003,11.10112,32.68752,-19.08005,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,974f6e30-5164-11f0-a7c3-c904c9e10edd,90.4099,NA,NA,9.17453,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:34:52,2025-06-25T01:34:52Z,2025-06-25T01:34:52Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,a4bed881-afb6-45f4-b242-08be559a7b48,53.89985,-132.693,16.34376,6.0501,-0.92722,-9.54003,1.8596,-2.97886,5.55056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-24,18:35:07,1,2,"Roberts, David",1000435371,Left,MAR_BER,"Clavon, Bryce",815366,Right,BEN_ELK,Undefined,1,Top,0,1,0,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,89.16578,-1.753611,1.889526,1933.930662,129.751216,10:15:00,5.89683,-1.97497,6.90979,-22.57249,11.7628,-12.63713,2.41739,-1.30664,80.42971,-6.084516,-0.423429,0.421737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27638,7.20126,1.85957,50,5.77867,-3.78768,-129.44503,-4.55379,12.13119,31.40527,-20.16804,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,a0811940-5164-11f0-a7c3-c904c9e10edd,89.37421,NA,NA,8.73607,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:35:07,2025-06-25T01:35:07Z,2025-06-25T01:35:07Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,cc6e6009-46ec-4779-88bc-384071e3dae6,53.58533,-130.31198,15.70264,5.8967,-3.99704,-10.08402,1.96875,-4.12257,6.06559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-24,18:35:23,1,3,"Roberts, David",1000435371,Left,MAR_BER,"Clavon, Bryce",815366,Right,BEN_ELK,Undefined,1,Top,0,1,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.09441,-1.796609,3.167925,2067.529131,134.783879,10:30:00,5.99707,-1.75845,6.74181,-20.5643,12.58729,-11.46308,2.63887,0.18359,82.11273,-5.7427,1.080254,0.414404,73.42349,14.964297,168.412472,1772.677575,NA,NA,NA,121.25174,60.57324,170.254707,1.363474,7.09859,7.59386,1.55398,50,5.87078,-6.8678,-132.10848,-4.70531,12.3315,32.61292,-18.98212,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,aa1c82a0-5164-11f0-a7c3-c904c9e10edd,90.95587,10.68299,NA,8.98168,NA,NA,NA,1.19516,2.52601,-0.18977,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:35:23,2025-06-25T01:35:23Z,2025-06-25T01:35:23Z,LineDrive,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,02182a1e-8026-4363-abaf-dc871c356e4b,53.75504,-133.03224,16.30646,5.99644,-4.16765,-9.49106,1.75346,-7.21709,6.16575,343.267558,1.19515,-101.91379,9.94186,0.0588,-0.59803,1.04471,-0.99376,0.50115,-0.10335,2.52601,27.80679,-25.57042,3.48743,-0.67793,0.15266,-0.01852,-9.1e-4,6.5e-4,-0.18977,20.89642,-4.06501,-0.19012,0.30635,-0.4798,0.44938,-0.22598,0.04657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-24,18:35:44,1,4,"Roberts, David",1000435371,Left,MAR_BER,"Clavon, Bryce",815366,Right,BEN_ELK,Undefined,1,Top,0,1,2,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.78199,-1.872827,1.895995,2030.792431,136.734309,10:30:00,6.06311,-1.86931,6.74472,-17.81076,14.07253,-12.15812,2.86634,-1.1497,83.66046,-5.311775,-0.321452,0.406399,63.36818,3.34109,78.949548,7131.648909,NA,NA,NA,53.38933,51.68251,80.646426,0.608735,7.0291,8.38276,1.74879,50,5.93297,-3.97487,-134.68073,-4.87173,12.69741,33.75883,-17.03135,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,b6672d80-5164-11f0-a7c3-c904c9e10edd,92.74726,3.16213,NA,9.12152,NA,NA,NA,0.85087,2.73066,1.12417,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:35:44,2025-06-25T01:35:44Z,2025-06-25T01:35:44Z,GroundBall,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,c5cbafb7-830c-4b6b-ad7c-7fd08ddd0dc8,53.75177,-135.61788,16.87942,6.06165,-4.39894,-8.51568,1.86402,-4.32735,6.3487,NA,0.85087,17.78381,-8.89584,1.50581,-0.3472,0.06636,-0.009,0.00138,-1.8e-4,2.73066,5.41653,-17.24103,1.75237,-0.29043,0.07301,-0.01272,0.00162,-1.3e-4,1.12417,91.06159,-10.75483,0.5294,-0.07396,-0.01658,0.00844,-0.00239,5.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-24,18:36:04,1,5,"Roberts, David",1000435371,Left,MAR_BER,"Clavon, Bryce",815366,Right,BEN_ELK,Undefined,1,Top,0,1,2,Undefined,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,82.14756,-0.744323,2.381923,1483.714047,114.603779,09:45:00,5.81072,-1.74579,6.85878,-32.83151,8.31819,-14.47654,2.39561,-0.77955,73.12609,-7.016701,-0.265171,0.461695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49178,5.20351,1.5979,50,5.75207,-4.42989,-119.08887,-2.40576,11.78906,29.95668,-24.95006,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,c26035f0-5164-11f0-a7c3-c904c9e10edd,81.63933,NA,NA,9.02147,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:36:04,2025-06-25T01:36:04Z,2025-06-25T01:36:04Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,0d2ee5b2-cd81-423c-9fb0-bde78c541e85,53.63424,-119.99958,14.97834,5.81368,-1.64726,-12.47503,1.73802,-4.78828,5.89453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.89965,3.192529,1.701171,1.491357,-8.5e-4,2.21869,0.78701,-3.69177,4.31252,3.56281,76.66961,12.83098,-48.13024,-3.56548,60.67265,-4.62877,4.43315,29.04831,-15.72295,3.56901,-36.01019,0.90025,High,High,High,NA,NA,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-24,18:36:36,2,1,"Roberts, David",1000435371,Left,MAR_BER,"Lopez, Auggie",1000434935,Left,BEN_ELK,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.61023,-1.53689,4.486368,2024.083185,145.203115,10:45:00,5.97172,-1.65275,6.90866,-19.54202,14.18032,-8.92402,2.93889,1.69782,80.80737,-5.332206,2.860996,0.417956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25532,8.43985,1.3725,50,5.86773,-9.92532,-131.07326,-4.00288,10.59652,34.48108,-17.87693,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,d5a0ccb0-5164-11f0-a7c3-c904c9e10edd,90.18288,NA,NA,9.80286,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:36:36,2025-06-25T01:36:36Z,2025-06-25T01:36:36Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,77464cfd-47bb-4f25-9994-fa0e6cf6a406,53.58312,-132.01249,17.24054,5.97013,-3.51592,-8.93846,1.64679,-10.21396,5.29826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-24,18:36:52,2,2,"Roberts, David",1000435371,Left,MAR_BER,"Lopez, Auggie",1000434935,Left,BEN_ELK,Undefined,1,Top,1,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.30879,-1.20946,2.202727,2044.935313,159.991818,11:15:00,6.06175,-1.83892,6.84739,-17.79875,15.16209,-5.06859,3.47476,-0.25187,81.86656,-4.673276,1.27722,0.41321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39988,8.78402,1.69949,50,5.97755,-4.89094,-132.46064,-3.22674,5.91263,33.88021,-16.89799,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,ded38930-5164-11f0-a7c3-c904c9e10edd,91.21869,NA,NA,9.44223,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:36:52,2025-06-25T01:36:52Z,2025-06-25T01:36:52Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,9c74beef-65a4-4073-b1bd-92feaa39be21,53.64553,-133.38982,16.94011,6.0597,-2.76331,-8.449,1.83585,-5.0531,2.95632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-24,18:37:12,2,3,"Roberts, David",1000435371,Left,MAR_BER,"Lopez, Auggie",1000434935,Left,BEN_ELK,Undefined,1,Top,1,1,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,80.53443,0.474205,2.438491,1889.824548,230.597568,01:45:00,5.69428,-1.62138,6.74517,-37.2373,5.11595,4.39303,3.02479,0.97381,72.82385,-6.55578,3.238808,0.468398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4991,3.04292,1.4599,50,5.71187,-5.13275,-116.88414,-0.04252,-2.03847,25.53663,-28.03627,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,ead67cb0-5164-11f0-a7c3-c904c9e10edd,80.47101,NA,NA,7.71057,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:37:12,2025-06-25T01:37:12Z,2025-06-25T01:37:12Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,561458c4-127c-4d17-a48b-a1140bcf0cb2,53.74968,-117.70051,12.76832,5.6989,0.85376,-14.01813,1.62294,-5.06759,-1.01923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-24,18:37:31,2,4,"Roberts, David",1000435371,Left,MAR_BER,"Lopez, Auggie",1000434935,Left,BEN_ELK,Undefined,1,Top,1,1,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.03196,-1.070946,3.557587,2009.997261,142.978155,10:45:00,5.93821,-1.52582,6.94941,-16.86056,15.86784,-10.94949,3.55659,0.80335,81.55742,-4.39222,1.55783,0.41175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04953,9.17658,1.30703,50,5.86524,-7.83627,-133.25322,-2.86919,12.26906,37.17658,-16.20305,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,f6813e10-5164-11f0-a7c3-c904c9e10edd,91.54205,NA,NA,10.47455,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:37:31,2025-06-25T01:37:31Z,2025-06-25T01:37:31Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,592a3524-c54e-4c83-a287-dc4dd661700b,53.5417,-134.23769,18.58829,5.93554,-2.44012,-8.10153,1.51885,-8.16116,6.13453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-24,18:37:55,2,5,"Roberts, David",1000435371,Left,MAR_BER,"Lopez, Auggie",1000434935,Left,BEN_ELK,Undefined,1,Top,1,1,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.66079,-3.141328,3.556371,2077.099325,165.160956,11:30:00,5.93914,-1.70734,7.04519,-17.75721,14.48013,-3.48481,1.5976,1.23683,82.43311,-6.604309,2.918828,0.40865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18626,9.28386,1.49305,50,5.74276,-8.19598,-134.05185,-7.78581,5.60841,37.79496,-15.83271,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,04c98db0-5165-11f0-a7c3-c904c9e10edd,92.23659,NA,NA,10.22768,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:37:55,2025-06-25T01:37:55Z,2025-06-25T01:37:55Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,759a2e4e-1164-4a6c-b48b-933d68949998,53.44821,-135.02055,18.89748,5.93711,-7.38001,-7.91636,1.70496,-8.33972,2.80421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-24,18:38:17,2,6,"Roberts, David",1000435371,Left,MAR_BER,"Lopez, Auggie",1000434935,Left,BEN_ELK,Undefined,1,Top,1,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.44936,1.091948,0.159676,1865.970332,255.066239,02:30:00,5.68989,-1.5952,6.73878,-39.27727,3.2341,6.3002,3.41462,-0.92428,72.45736,-6.331009,1.30934,0.469271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3126,1.71646,1.58238,50,5.74669,-0.53535,-116.8797,1.1725,-4.48193,26.53027,-29.85169,MAR_BER,BEN_ELK,ChemeketaCC,WCL,WCL,20250624-ChemeketaCC-1,11e80350-5165-11f0-a7c3-c904c9e10edd,80.32122,NA,NA,7.992,NA,NA,NA,NA,NA,NA,713df8a2-f5da-4a8d-8c0d-6d2b88f5e65a,2025-06-25,01:38:17,2025-06-25T01:38:17Z,2025-06-25T01:38:17Z,NA,v3,NA,NA,NA,"Hubbard, Bryce",10071433,Right,MAR_BER,dfd26399-98cf-4bba-b2fc-c355514e9b9b,53.75962,-117.73,13.26514,5.69378,2.12925,-14.925840000000001,1.59723,-0.39171,-2.24096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
