player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-08-03,18:18:40,1,1,"Wallin, Luke",1000118251,Right,POR_PIC,"Kashimoto, Cody",813806,Left,MAR_BER,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.00791,-1.745082,-1.233679,2231.3637,220.184729,01:15:00,5.9822,1.58152,5.7859,-21.14769,16.95324,13.01375,2.59552,1.51809,77.48755,-5.782563,1.098108,0.444262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.93382,9.65544,-1.48703,50,5.82593,2.12499,-125.88107,-4.45359,-10.81988,32.09956,-17.10722,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,f51a10c0-70d0-11f0-a625-d3d31f32a6f6,84.84284,NA,NA,9.52036,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:18:40,2025-08-04T01:18:40Z,2025-08-04T01:18:40Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,c19c1983-cfe4-4a06-b8a2-0fd35e176dcf,54.70427,-127.075,16.04978,5.97974,-3.8173,-8.55361,-1.57355,2.5274200000000002,-5.40994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-08-03,18:19:00,1,2,"Wallin, Luke",1000118251,Right,POR_PIC,"Kashimoto, Cody",813806,Left,MAR_BER,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.73369,0.314287,-1.241476,2254.901511,214.726487,01:15:00,5.88382,1.47545,5.92771,-19.8095,18.18918,11.57631,4.52471,1.28805,77.24271,-3.504932,0.836986,0.443666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.23457,9.56233,-1.38205,50,5.89777,2.2095,-125.60186,0.15088,-9.71277,31.31333,-17.27696,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,00f18770-70d1-11f0-a625-d3d31f32a6f6,84.95688,NA,NA,9.49098,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:19:00,2025-08-04T01:19:00Z,2025-08-04T01:19:00Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,cd2a407d-f577-4d59-8e20-ccd61eea04b3,54.56254,-126.73423,15.65666,5.88102,0.77566,-8.63848,-1.4683,2.56074,-4.85638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-08-03,18:19:19,1,3,"Wallin, Luke",1000118251,Right,POR_PIC,"Kashimoto, Cody",813806,Left,MAR_BER,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.81675,-2.015365,-1.143166,2192.254231,214.592311,01:15:00,5.88096,1.48247,5.67258,-20.12206,18.21336,11.50812,2.32404,1.37555,77.52869,-5.855406,0.914397,0.445627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.13233,10.3302,-1.39286,50,5.69849,1.98763,-125.60472,-5.00599,-9.55585,31.26795,-16.07668,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,0bdaa680-70d1-11f0-a625-d3d31f32a6f6,84.58293,NA,NA,9.28806,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:19:19,2025-08-04T01:19:19Z,2025-08-04T01:19:19Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,e7f8dd70-139f-483a-8e30-8576ff57215e,54.81836,-126.79853,15.63397,5.8779,-4.39219,-8.03834,-1.47571,2.35247,-4.77792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-08-03,18:19:38,1,4,"Wallin, Luke",1000118251,Right,POR_PIC,"Kashimoto, Cody",813806,Left,MAR_BER,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.87869,-2.16046,-2.186983,2225.69513,218.877115,01:15:00,5.86519,1.41072,5.91274,-20.7856,16.84076,12.45174,2.12549,0.41761,78.28277,-6.110834,0.048048,0.441487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.02851,9.71146,-1.24209,50,5.68006,4.27546,-125.83257,-5.35511,-11.08735,29.37461,-16.85434,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,178f04d0-70d1-11f0-a625-d3d31f32a6f6,85.3762,NA,NA,8.59592,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:19:38,2025-08-04T01:19:38Z,2025-08-04T01:19:38Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,1e2a72d9-979c-4875-87c0-496a8b45c8d1,54.5819,-126.89767,14.6873,5.86315,-4.74398,-8.42717,-1.40441,4.67748,-5.54367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-08-03,18:19:55,1,5,"Wallin, Luke",1000118251,Right,POR_PIC,"Kashimoto, Cody",813806,Left,MAR_BER,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,87.98225,-1.996227,-1.403448,2240.630915,217.514719,01:15:00,5.8045,1.43647,5.82367,-18.49702,19.11473,13.40816,2.40594,1.24881,77.51895,-5.583345,1.000209,0.441401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.23681,10.91064,-1.32898,50,5.63056,2.50113,-127.12483,-4.9263,-11.39259,35.27432,-14.99794,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,21bee600-70d1-11f0-a625-d3d31f32a6f6,85.39273,NA,NA,10.4633,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:19:55,2025-08-04T01:19:55Z,2025-08-04T01:19:55Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,270f2d68-f567-45a9-902d-2dfe8d381cb4,54.66462,-128.41263,17.63716,5.80042,-4.37875,-7.49897,-1.42789,2.91705,-5.6963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-08-03,18:20:26,2,1,"Wallin, Luke",1000118251,Right,POR_PIC,"Wideman, Daniel",1000111963,Right,MAR_BER,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.15015,-0.928516,-2.284381,2300.449769,214.560987,01:15:00,5.84023,1.57252,5.96741,-17.69438,19.44824,12.30402,3.50406,0.47874,77.77429,-4.381598,-0.074895,0.438639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.05158,10.68902,-1.39759,50,5.75684,4.53168,-127.45082,-2.51674,-11.19273,34.72813,-15.20768,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,33c74ae0-70d1-11f0-a625-d3d31f32a6f6,85.93033,NA,NA,10.37586,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:20:26,2025-08-04T01:20:26Z,2025-08-04T01:20:26Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,3ccf3906-572f-4600-80df-83013a193560,54.52181,-128.67703,17.36407,5.83622,-1.97977,-7.60384,-1.56458,4.92688,-5.59637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-08-03,18:21:05,2,2,"Wallin, Luke",1000118251,Right,POR_PIC,"Wideman, Daniel",1000111963,Right,MAR_BER,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.84858,-0.595522,-1.344826,2287.444315,213.458554,01:00:00,5.88296,1.40534,5.8938,-17.57552,19.1847,11.61973,3.86525,1.12482,78.11326,-4.029027,0.740337,0.436376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.33685,10.40213,-1.30306,50,5.82507,2.48173,-128.45572,-1.78956,-10.1801,36.14882,-15.46314,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,4b6bd800-70d1-11f0-a625-d3d31f32a6f6,86.37611,NA,NA,10.73532,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:21:05,2025-08-04T01:21:05Z,2025-08-04T01:21:05Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,4f3d4ec7-1dab-423a-b88c-8423a31836a0,54.59419,-129.74213,18.07441,5.87897,-1.23928,-7.73157,-1.39782,2.844,-5.09005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-08-03,18:21:25,2,3,"Wallin, Luke",1000118251,Right,POR_PIC,"Wideman, Daniel",1000111963,Right,MAR_BER,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.6805,-0.223446,-1.551231,2250.585723,215.738747,01:15:00,5.80675,1.44272,5.84323,-19.57261,17.88962,11.77875,3.96797,0.98233,77.80162,-3.996901,0.56014,0.440523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.46004,9.58367,-1.3228,50,5.77729,2.90639,-126.89159,-1.04175,-10.22719,32.98074,-17.00175,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,5737dd00-70d1-11f0-a625-d3d31f32a6f6,85.56298,NA,NA,9.87887,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:21:25,2025-08-04T01:21:25Z,2025-08-04T01:21:25Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,3d4a1596-2a7a-439b-ba97-fe1c7bb6d2c8,54.647,-128.0937,16.49037,5.80397,-0.42205,-8.50087,-1.43553,3.27916,-5.11359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-08-03,18:21:44,2,4,"Wallin, Luke",1000118251,Right,POR_PIC,"Wideman, Daniel",1000111963,Right,MAR_BER,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.55617,-1.243176,-0.610152,2214.205757,220.661957,01:15:00,5.77456,1.4983900000000001,5.83194,-19.79383,17.72387,13.92977,2.96926,2.09203,77.96194,-5.041918,1.887735,0.440849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.43268,9.95886,-1.45728,50,5.66198,0.77494,-126.84818,-3.32858,-11.74391,33.25686,-16.43865,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,629c6da0-70d1-11f0-a625-d3d31f32a6f6,85.49971,NA,NA,9.59423,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:21:44,2025-08-04T01:21:44Z,2025-08-04T01:21:44Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,297403a9-b765-4a31-a436-d70ac1e49a5a,54.66519,-128.06545,16.62843,5.7728,-2.72689,-8.21932,-1.49351,1.20479,-5.87196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-08-03,18:22:03,2,5,"Wallin, Luke",1000118251,Right,POR_PIC,"Wideman, Daniel",1000111963,Right,MAR_BER,Undefined,1,Top,0,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,88.45863,-1.932659,-0.882947,2236.743286,231.065579,01:45:00,5.81016,1.50455,5.6609,-21.64493,15.57355,17.34544,2.20329,2.12658,78.45805,-6.04891,2.218494,0.439087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.93469,9.02221,-1.44011,50,5.63343,1.16279,-127.89529,-4.98575,-14.3174,34.36716,-17.71645,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,6dd5a880-70d1-11f0-a625-d3d31f32a6f6,85.84273,NA,NA,10.00058,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:22:03,2025-08-04T01:22:03Z,2025-08-04T01:22:03Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,339cf0ab-4be4-4043-88f8-add3c16f6dd6,54.82896,-129.18637,17.18358,5.80823,-4.32019,-8.85822,-1.4939,1.70066,-7.1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-08-03,18:23:09,3,1,"Wallin, Luke",1000118251,Right,POR_PIC,"Stickney, Will",1000205699,Right,MAR_BER,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,79.90775,-1.924166,-3.874686,1515.463789,246.704829,02:15:00,5.96881,1.52748,5.63691,-36.93163,8.53182,15.60387,1.09127,-0.79253,71.70434,-8.767501,-1.090153,0.485291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.22729,5.53607,-1.20767,50,5.7818,7.19022,-115.43422,-5.06428,-12.13634,26.53857,-24.89263,POR_PIC,MAR_BER,WalkerStadium,WCL,WCL,20250803-WalkerStadium-1,951480b0-70d1-11f0-a625-d3d31f32a6f6,77.66971,NA,NA,8.20341,NA,NA,NA,NA,NA,NA,972f5e38-5821-4aff-a367-1f8418a8f947,2025-08-04,01:23:09,2025-08-04T01:23:09Z,2025-08-04T01:23:09Z,NA,v3,NA,NA,NA,"Stewart, Conner",822680,Right,POR_PIC,d357d036-4b21-4296-bb22-a1ec4edecb3b,54.8578,-116.54569,13.26929,5.97207,-4.02175,-12.44631,-1.51945,7.6985,-6.06817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
