player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-19,18:38:15,1,1,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.42609,0.010358,-0.668575,2084.867393,257.97678,02:30:00,5.3651,1.80997,5.27202,-37.08309,3.97858,12.63587,2.28458,2.23493,76.48563,-6.763504,1.575655,0.4612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.46138,2.41614,-1.75829,50,5.33903,0.86534,-121.10304,-1.32729,-9.59678,23.62325,-28.58544,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,71575af0-64f9-11f0-a26d-39a05e5adb3d,81.7268,NA,NA,6.94046,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:38:15,2025-07-19T23:38:15Z,2025-07-19T23:38:15Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,e494d294-75c0-4ad7-bdce-813371f4e7aa,55.22644,-122.11829,11.81163,5.36968,-0.09878,-14.29272,-1.80435,1.27778,-4.79839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-19,18:38:29,1,2,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,1,0,Other,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.74936,0.28127,-3.210329,2031.06057,222.914226,01:30:00,5.65355,1.37745,5.11156,-31.00084,12.41209,10.1726,3.33555,-0.80248,74.23832,-5.435493,-1.414669,0.474221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.98052,6.52004,-1.08307,50,5.65641,6.19991,-118.35391,-0.48438,-8.43544,23.76859,-22.97761,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,797e9ae0-64f9-11f0-a26d-39a05e5adb3d,79.48282,NA,NA,7.51103,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:38:29,2025-07-19T23:38:29Z,2025-07-19T23:38:29Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,c69c2059-e0a9-4435-8177-4e000fb4bd19,55.38524,-119.43051,11.8843,5.65478,0.55639,-11.4888,-1.37255,6.582,-4.21772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-19,18:38:42,1,3,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,1,1,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.48933,-0.489507,-2.675958,2284.037198,193.297987,12:30:00,5.50181,1.46587,5.51067,-26.20537,13.38642,2.87906,2.85976,-0.79844,77.5845,-5.346314,-2.163726,0.45287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15536,7.25776,-1.2343,50,5.44161,5.60807,-122.58557,-1.91619,-3.29565,23.13243,-21.07663,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,81a47b40-64f9-11f0-a26d-39a05e5adb3d,83.23007,NA,NA,6.90483,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:38:42,2025-07-19T23:38:42Z,2025-07-19T23:38:42Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,21394491-8d31-43e4-840a-cc470b9bb583,54.98727,-123.52311,11.56621,5.50196,-1.06198,-10.53831,-1.4643,5.74164,-1.64782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-19,18:38:58,1,4,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,75.81951,0.409845,-1.567365,2244.28583,62.410534,08:00:00,5.08113,1.70531,4.79826,-56.39873,-4.83264,-12.8219,0.76975,-0.84876,68.82359,-9.748356,-3.825682,0.516837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.87555,-2.15457,-1.53704,50,5.07259,3.51329,-109.78991,-1.20294,7.02564,23.1252,-34.75036,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,8af87b60-64f9-11f0-a26d-39a05e5adb3d,72.92907,NA,NA,6.99591,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:38:58,2025-07-19T23:38:58Z,2025-07-19T23:38:58Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,1bc836ec-0e98-44df-8da6-254390462e67,55.70277,-110.98459,11.5626,5.08837,0.59232,-17.37518,-1.70916,3.15033,3.51282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-19,18:39:13,1,5,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,2,2,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.94637,0.831513,-2.560461,2290.45144,206.272073,01:00:00,5.63317,1.49074,5.47372,-25.79533,12.76162,5.68634,4.26251,-0.43304,78.24619,-3.970487,-1.549588,0.446913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.57315,6.56453,-1.26958,50,5.68897,5.32417,-124.60655,0.94104,-5.60802,25.44908,-21.87114,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,93b0d7c0-64f9-11f0-a26d-39a05e5adb3d,84.33957,NA,NA,7.70018,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:39:13,2025-07-19T23:39:13Z,2025-07-19T23:39:13Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,bb2d5d99-b9e5-4b19-9404-ce525c612a26,55.0232,-125.62828,12.72454,5.63357,1.81912,-10.93557,-1.48785,5.54932,-2.80401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-19,18:39:27,1,6,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,3,2,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.39509,0.352297,-1.264419,2159.11471,203.126288,12:45:00,5.55007,1.48832,5.37899,-28.70549,10.33067,3.88855,3.48829,0.62685,78.06583,-4.951316,-0.573229,0.449681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.30925,5.45579,-1.37801,50,5.56149,2.56956,-123.95165,-0.23906,-3.59344,24.72273,-23.68418,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,9c41aef0-64f9-11f0-a26d-39a05e5adb3d,83.8203,NA,NA,7.32925,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:39:27,2025-07-19T23:39:27Z,2025-07-19T23:39:27Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,ce61fd1d-aec4-4a64-9c52-8e8e4b555683,55.11983,-124.96865,12.36137,5.55128,0.73522,-11.84209,-1.48675,2.71738,-1.79672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-19,18:39:47,1,7,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Alonso, Marcelino",1000432786,Right,EAU_C,Undefined,1,Top,0,3,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,85.53973,-0.722308,-2.188266,2151.339763,266.880728,03:00:00,5.43936,1.46264,5.29322,-36.89266,2.04701,15.77308,1.68624,0.72142,78.72285,-7.43806,0.613927,0.449125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.58071,1.52032,-1.2757,50,5.34634,4.0792,-124.18828,-2.92966,-13.43579,24.2587,-29.79354,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,a86a04c0-64f9-11f0-a26d-39a05e5adb3d,83.92411,NA,NA,6.81688,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:39:47,2025-07-19T23:39:47Z,2025-07-19T23:39:47Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,c32cec03-544a-4e55-96d0-0d8dd3d06267,55.20893,-125.20165,12.12935,5.44272,-1.68509,-14.89677,-1.45782,4.64046,-6.71789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.42025,NA,NA,1.077197,NA,NA,NA,-0.64247,5.02675,-1.34515,70.06095,8.49899,-54.74467,-0.6172,69.52427,-3.62856,5.08904,19.34825,-15.01577,-1.44264,-57.01358,6.98245,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-19,18:40:19,2,1,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Vachini, Dante",10281096,Left,EAU_C,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.26426,-1.009711,-3.441617,2202.588172,255.158252,02:30:00,5.3235,1.61516,5.55094,-34.13667,4.74512,13.40202,1.53346,-0.48786,78.42807,-7.264607,-1.053855,0.448791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.79024,2.98122,-1.32654,50,5.21314,6.89436,-123.68815,-3.37824,-12.10475,23.97264,-27.5417,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,bb7d9810-64f9-11f0-a26d-39a05e5adb3d,83.98654,NA,NA,6.83619,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:40:19,2025-07-19T23:40:19Z,2025-07-19T23:40:19Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,dd39e793-ad03-4c2f-9e98-b5f8e5f39b68,54.95096,-124.64403,11.98632,5.32595,-2.28005,-13.77085,-1.61107,7.37702,-6.05238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-19,18:40:34,2,2,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Vachini, Dante",10281096,Left,EAU_C,Undefined,1,Top,1,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,85.00578,-0.135866,-2.551387,2147.051185,267.203997,03:00:00,5.27021,1.63017,5.50459,-37.25159,1.79433,12.91036,2.03872,0.31827,78.31583,-6.944467,-0.250688,0.449738,101.38426,-13.05196,-18.476857,NA,NA,NA,NA,10.72397,10.72397,-17.647,0.062731,-7.22993,1.26406,-1.41637,50,5.23298,4.96673,-123.44234,-1.62662,-11.21281,23.39772,-30.21362,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,c423a4f0-64f9-11f0-a26d-39a05e5adb3d,83.80982,2.10933,NA,6.68995,NA,NA,NA,1.58951,2.10933,-0.36737,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:40:34,2025-07-19T23:40:34Z,2025-07-19T23:40:34Z,GroundBall,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,95d55564-27b9-40eb-9917-ab2f8d03688a,54.99702,-124.38589,11.69886,5.27401,-0.40822,-15.10681,-1.62578,5.4189,-5.6064,180,1.5877,137.56766,NA,NA,NA,NA,NA,NA,NA,2.10977,-33.62473,NA,NA,NA,NA,NA,NA,NA,-0.36676,-45.96771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-19,18:41:18,3,1,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Moran, JJ",832195,Right,EAU_C,Undefined,1,Top,1,0,0,Slider,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.83634,-1.857151,-4.139483,2141.01348,208.975317,01:00:00,5.54002,1.2967,5.4503,-25.41214,16.20713,8.22445,1.67852,-1.90007,75.80144,-6.573437,-2.680838,0.464321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.3113,9.08985,-0.93663,50,5.35843,8.34117,-119.90119,-4.71037,-7.73153,23.19309,-18.94217,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,de78ac10-64f9-11f0-a26d-39a05e5adb3d,81.17749,NA,NA,7.0349,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:41:18,2025-07-19T23:41:18Z,2025-07-19T23:41:18Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,b737c312-485f-4d0a-9b5d-eb57f8c06515,55.04853,-120.87381,11.59655,5.53931,-3.91602,-9.47108,-1.29322,8.6654,-3.86577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-07-19,18:41:37,3,2,"Blankstrom, Colton",1000230476,Right,NWL_WB,"Moran, JJ",832195,Right,EAU_C,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.03782,-1.2357,-2.623406,2153.523698,227.32223,01:30:00,5.64061,1.45437,5.19342,-28.47151,12.02572,11.69221,2.10419,-0.0408,77.25976,-6.461923,-0.553112,0.458019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.56457,6.70111,-1.22027,50,5.50451,5.08871,-121.89848,-3.6314,-9.92333,22.91902,-22.04433,NWL_WB,EAU_C,RiverfrontStadium,NWL,NWL,20250719-RiverfrontStadium-1,ea1a45b0-64f9-11f0-a26d-39a05e5adb3d,82.2944,NA,NA,6.77806,NA,NA,NA,NA,NA,NA,b45453cf-cb73-43e8-a4ef-e7ed4cbf18bb,2025-07-19,23:41:37,2025-07-19T23:41:37Z,2025-07-19T23:41:37Z,NA,v3,NA,NA,NA,"Mendiola, Patrick",1000090289,Right,NWL_WB,5cf9e32e-7b86-48ec-87e6-91737129f352,55.30671,-122.89218,11.45951,5.64124,-2.67562,-11.02217,-1.45023,5.51896,-4.96166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
