player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-27,18:10:29,1,1,"Howard, David",1000237401,Left,SON_STO,"Biehl, Tucker",1000349971,Right,MEN_PAR,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.87326,-1.189206,0.792338,1988.533608,139.904251,10:45:00,5.69021,-1.97922,5.65922,-29.56891,12.45087,-9.36186,2.11691,-2.02045,75.0849,-6.670336,-0.882103,0.46655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9563,7.06154,1.91814,50,5.57102,-1.26771,-118.87198,-3.40834,7.09414,22.71501,-22.06659,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,ae9a24e0-53bc-11f0-ac7a-a705624eedb0,80.78969,NA,NA,6.78837,NA,NA,NA,NA,NA,NA,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:10:29,2025-06-28T01:10:29Z,2025-06-28T01:10:29Z,NA,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,3dbfef66-50ff-4e32-833d-dac233305a63,54.83712,-119.79272,11.3575,5.69105,-2.51388,-11.03329,1.97535,-1.55527,3.54707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-27,18:10:41,1,2,"Howard, David",1000237401,Left,SON_STO,"Biehl, Tucker",1000349971,Right,MEN_PAR,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,NA,81.97923,-1.190283,2.105281,2026.889775,157.770753,11:15:00,5.84033,-1.75329,5.66193,-26.77572,14.94245,-5.59307,2.49821,-0.25537,75.50327,-6.162585,1.10616,0.464873,83.71319,9.257535,15.706201,2248.33286,104.03088,10.15301,35.74253,175.43086,147.62446,21.316496,1.781998,3.41024,8.29095,1.57892,50,5.72274,-4.15809,-119.04393,-3.30978,4.92217,21.60926,-20.20734,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,b613e6c0-53bc-11f0-ac7a-a705624eedb0,81.08121,10.63265,NA,6.47596,NA,NA,NA,1.69854,2.56434,0.27785,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:10:41,2025-06-28T01:10:41Z,2025-06-28T01:10:41Z,LineDrive,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,3320706b-b504-40cb-91b9-1f094505b7ab,54.8364,-119.91864,10.80463,5.84016,-2.49182,-10.10367,1.75127,-4.35733,2.46109,226.602119,1.69854,116.6554,-19.88314,4.11867,-0.85489,0.17501,-0.03427,0.00525,-4.2e-4,2.56434,19.75178,-12.23059,0.14971,0.04279,-0.01921,0.00596,-9.8e-4,8e-5,0.27785,32.80398,2.04947,-0.33639,0.05414,-0.0081,0.0013,-1.7e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-27,18:11:10,2,1,"Howard, David",1000237401,Left,SON_STO,"Via, Quincy",1000223706,Right,MEN_PAR,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.29249,0.172378,1.407426,1995.631868,136.812367,10:30:00,5.77075,-1.92853,5.7331,-29.6688,11.73249,-9.81056,3.45893,-1.43517,75.41451,-5.343941,-0.3482,0.463104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36355,6.31863,1.81732,50,5.76697,-2.54445,-119.52148,-0.58011,7.77445,22.595,-23.0152,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,c72197f0-53bc-11f0-ac7a-a705624eedb0,81.3909,NA,NA,6.87798,NA,NA,NA,NA,NA,NA,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:11:10,2025-06-28T01:11:10Z,2025-06-28T01:11:10Z,NA,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,d8e13272-0b19-4317-bb89-c1c2f15ad786,54.76376,-120.41868,11.2975,5.77185,0.33378,-11.5076,1.92448,-2.85316,3.88722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-27,18:11:21,2,2,"Howard, David",1000237401,Left,SON_STO,"Via, Quincy",1000223706,Right,MEN_PAR,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,81.36275,-0.037262,2.384136,1948.254152,139.12237,10:45:00,5.77815,-1.86878,5.72583,-31.34049,11.30111,-8.57115,3.13171,-0.36126,74.20059,-5.865787,0.851639,0.46999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01587,6.18977,1.67498,50,5.75594,-4.56957,-118.02313,-1.06415,7.05143,23.15789,-23.47231,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,cdaf7330-53bc-11f0-ac7a-a705624eedb0,80.19845,NA,NA,7.16216,NA,NA,NA,NA,NA,NA,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:11:21,2025-06-28T01:11:21Z,2025-06-28T01:11:21Z,NA,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,13110efc-b63b-4a07-b975-0e96e06df29e,54.76949,-118.9553,11.57895,5.77976,-0.11933,-11.73616,1.86463,-4.85341,3.52571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-27,18:11:32,2,3,"Howard, David",1000237401,Left,SON_STO,"Via, Quincy",1000223706,Right,MEN_PAR,Undefined,1,Top,1,1,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,82.85307,-0.753918,2.510806,2057.419225,118.512458,10:00:00,5.68577,-1.952,5.74447,-33.92994,6.56288,-9.98729,2.15564,-0.44513,76.8219,-6.987767,0.723265,0.457995,92.53728,-1.958416,-14.735464,3361.303158,NA,NA,NA,34.14366,34.14366,-13.708276,0.249536,5.74725,3.8611,1.7496,50,5.60203,-4.89411,-120.40773,-2.70386,8.53383,20.87563,-26.44087,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,d49a1470-53bc-11f0-ac7a-a705624eedb0,82.29885,2.19713,NA,6.03117,NA,NA,NA,1.58869,2.19713,0.4469,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:11:32,2025-06-28T01:11:32Z,2025-06-28T01:11:32Z,GroundBall,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,ab5fa1e8-5f64-4211-989c-831aa190dd92,54.75566,-121.22944,10.43782,5.68797,-1.66309,-13.22044,1.94886,-5.23002,4.26692,66.338831,1.59085,131.06579,-18.10715,NA,NA,NA,NA,NA,NA,2.19831,-4.70067,-16.48533,NA,NA,NA,NA,NA,NA,0.44701,-34.50727,1.1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-27,18:12:03,3,1,"Howard, David",1000237401,Left,SON_STO,"Bose, James",832464,Right,MEN_PAR,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.72072,-1.197179,1.53231,2032.433083,107.546368,09:30:00,5.73151,-1.90644,5.72459,-34.49801,5.40764,-13.3241,1.74108,-1.58927,77.25189,-7.534962,-0.854954,0.454662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,3.44858,1.7868,50,5.61029,-2.71643,-121.63453,-3.70764,10.80945,22.76265,-26.98224,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,e700c5f0-53bc-11f0-ac7a-a705624eedb0,82.90213,NA,NA,6.46883,NA,NA,NA,NA,NA,NA,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:12:03,2025-06-28T01:12:03Z,2025-06-28T01:12:03Z,NA,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,284bbb4b-6fb0-478d-a5f8-cbc28dceb150,54.77401,-122.52468,11.38133,5.73465,-2.65248,-13.49112,1.9013,-3.13915,5.40472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-27,18:12:16,3,2,"Howard, David",1000237401,Left,SON_STO,"Bose, James",832464,Right,MEN_PAR,Undefined,1,Top,2,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.42178,-1.374586,1.591828,2031.317956,147.306356,11:00:00,5.873,-1.82653,5.72503,-27.20903,14.12414,-8.23048,2.32458,-1.02943,75.62518,-6.436717,0.118748,0.462723,76.90461,37.512017,45.139306,4674.244134,63.15458,63.47538,90.06373,248.9782,94.14895,67.001405,4.275924,4.64225,7.96315,1.69889,50,5.74154,-3.00188,-119.66788,-3.71882,6.73991,22.82841,-20.61258,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,eec684f0-53bc-11f0-ac7a-a705624eedb0,81.45797,67.28535,NA,6.7966,NA,NA,NA,0.85545,2.57108,1.17115,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:12:16,2025-06-28T01:12:16Z,2025-06-28T01:12:16Z,FlyBall,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,0cba4c85-d7cc-44fb-af58-383bb2ae9a60,54.77259,-120.57489,11.4142,5.87303,-2.89985,-10.30629,1.82348,-3.26967,3.36995,NA,0.85545,63.10981,-19.80997,4.87715,-1.04344,0.21024,-0.04585,0.00709,-4.4e-4,2.57117,68.67946,-20.65725,1.57694,-0.16794,-0.02221,0.01743,-0.00307,1.8e-4,1.17114,63.42452,-2.36458,-0.3021,0.03515,0.07121,-0.03518,0.00691,-5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-27,18:12:36,3,3,"Howard, David",1000237401,Left,SON_STO,"Bose, James",832464,Right,MEN_PAR,Undefined,1,Top,2,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,65.96886,3.129972,-0.39533,1643.116766,315.371582,04:30:00,5.61507,-2.08636,5.19868,-75.98323,-9.09969,11.29686,2.23008,-1.51679,60.16195,-10.648514,1.609872,0.588615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.71583,-4.74835,2.1142,50,5.84827,0.26475,-95.55336,2.94063,-5.20542,16.78178,-36.49839,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,fa8d80e0-53bc-11f0-ac7a-a705624eedb0,64.03584,NA,NA,5.80691,NA,NA,NA,NA,NA,NA,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:12:36,2025-06-28T01:12:36Z,2025-06-28T01:12:36Z,NA,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,7dacb5c2-94ce-4fa0-b22d-66269a5d0213,55.30106,-96.47988,8.39089,5.6303,4.9557,-18.2492,2.09165,0.55214,-2.60271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-27,18:12:49,3,4,"Howard, David",1000237401,Left,SON_STO,"Bose, James",832464,Right,MEN_PAR,Undefined,1,Top,2,2,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.55581,-0.214193,2.451478,2084.365124,120.930128,10:00:00,5.72146,-1.76317,5.80098,-33.02325,8.20871,-11.48008,2.77013,-0.43846,75.45905,-6.33679,0.395077,0.462156,68.84809,32.92675,134.562863,2845.953486,NA,NA,NA,NA,17.41899,NA,NA,6.56678,4.64465,1.56873,50,5.68416,-4.67762,-119.81988,-1.50997,9.5232,23.68122,-25.43832,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,024c3b00-53bd-11f0-ac7a-a705624eedb0,81.55787,13.34826,NA,7.09676,NA,NA,NA,0.48498,2.59957,0.57525,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:12:49,2025-06-28T01:12:49Z,2025-06-28T01:12:49Z,NA,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,061b6c68-4b48-47c4-9fc5-dfa8fb3838e3,54.69671,-120.74457,11.84061,5.72373,-0.51667,-12.71916,1.75864,-5.04948,4.7616,NA,0.48436,-59.43393,7.01184,NA,NA,NA,NA,NA,NA,2.59976,54.87548,-16.01121,NA,NA,NA,NA,NA,NA,0.57556,60.36795,-4.07905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-27,18:13:06,3,5,"Howard, David",1000237401,Left,SON_STO,"Bose, James",832464,Right,MEN_PAR,Undefined,1,Top,2,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,70.27776,0.502958,2.225277,1546.398936,129.937907,10:15:00,5.83935,-1.79849,5.86213,-44.2038,12.80343,-12.99359,2.62331,-0.813,64.17023,-7.710452,-0.105283,0.543421,75.42533,55.460775,-44.435918,4177.750955,67.90945,109.28275,-86.5349,197.9038,87.30802,-55.491996,5.2943,7.35949,6.93981,1.6259,50,5.85444,-3.5347,-101.97033,-0.28658,7.69152,17.92563,-24.92118,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,0c7c9160-53bd-11f0-ac7a-a705624eedb0,69.3614,109.287,NA,6.10753,NA,NA,NA,3.27392,1.9024,1.23715,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:13:06,2025-06-28T01:13:06Z,2025-06-28T01:13:06Z,Popup,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,0694ab8e-8af8-40e7-99cb-5ef327669304,54.63521,-102.78194,8.96282,5.84187,0.84176,-12.46059,1.79382,-3.88295,3.84576,159.569675,3.27594,44.72091,-13.74164,3.33655,-0.1422,-0.20366,0.06846,-0.00914,4.5e-4,1.89844,91.19424,-23.10226,2.37012,-0.49001,0.05691,0.00709,-0.00285,2.2e-4,1.237,-43.90573,5.62933,-1.12961,0.14201,-0.0074400000000000004,3.6e-4,-2.3e-4,3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-27,18:13:35,3,6,"Howard, David",1000237401,Left,SON_STO,"Bose, James",832464,Right,MEN_PAR,Undefined,1,Top,2,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,67.61892,1.520953,1.492219,1745.819947,286.472812,03:30:00,5.5756,-1.95569,5.71277,-62.79842,-2.14634,12.5969,1.76012,0.4845,63.44092,-9.892335,3.747262,0.560524,80.68576,4.339309,-60.155845,3345.272252,NA,NA,NA,81.60682,81.60682,-63.313608,0.719192,-6.13315,-1.07799,1.8226,50,5.66306,-2.95541,-98.3721,0.87064,-6.09102,13.63158,-33.24464,SON_STO,MEN_PAR,ArnoldField,Cali Collegiate,CCL,20250627-ArnoldField-1,1dee0d70-53bd-11f0-ac7a-a705624eedb0,67.24499,3.40783,NA,4.17799,NA,NA,NA,2.61686,2.30853,-0.67619,320a2008-75a9-4a52-8c64-05bebd737743,2025-06-28,01:13:35,2025-06-28T01:13:35Z,2025-06-28T01:13:35Z,GroundBall,v3,NA,NA,NA,"Pawlowski, Connor",1000144861,Right,SON_STO,df2ae512-3676-40a9-b181-50c195e8e4b7,54.78993,-99.03363,6.81579,5.58166,2.48396,-16.62232,1.95886,-2.65983,-3.04551,NA,2.61686,58.72167,-16.4934,0.96457,-0.10562,0.00319,0.00885,-0.00273,3.1e-4,2.30853,8.95386,-19.00129,3.23464,-0.54439,0.13583,-0.02922,0.00415,-3.4e-4,-0.67619,-102.35083,3.12947,-0.74812,0.13896,-0.03079,0.00393,6.9e-4,-3.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
