player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-24,18:00:30,1,1,"Whysong, Nate",832393,Right,BOU_BRA,"Morales, Antonio",822655,Left,FAL_COM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,94.33874,-2.250726,-1.757775,2368.906348,214.812937,01:15:00,5.63578,1.59667,6.35386,-14.50276,16.72383,10.8578,2.35355,0.88308,85.25147,-5.058188,0.207523,0.402192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.15878,9.71516,-1.47376,50,5.46541,3.72803,-136.84098,-5.76115,-11.53414,33.66724,-13.97956,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,9da14830-68d9-11f0-b481-8f5f58b7a685,93.71745,NA,NA,9.08727,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:00:30,2025-07-24T22:00:30Z,2025-07-24T22:00:30Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,c2b1d746-98b2-4349-97c4-e585ce9ff01f,54.14246,-137.85639,16.83362,5.63281,-5.33952,-6.98978,-1.59144,4.0759,-5.76707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-24,18:00:47,1,2,"Whysong, Nate",832393,Right,BOU_BRA,"Morales, Antonio",822655,Left,FAL_COM,Undefined,1,Top,0,0,1,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.4427,-1.091169,-1.823787,2361.353727,187.781528,12:15:00,5.63208,1.59406,6.27935,-11.29229,20.87355,2.6861,3.68467,0.1363,83.61432,-3.344612,-1.338616,0.408196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.00236,11.50871,-1.46062,50,5.54572,4.1956,-135.46316,-2.80755,-3.64198,35.4263,-11.24135,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,a7a6be00-68d9-11f0-b481-8f5f58b7a685,92.33906,NA,NA,9.82838,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:00:47,2025-07-24T22:00:47Z,2025-07-24T22:00:47Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,a946b8bf-7c56-4837-98b3-61c1c49f9ac5,54.215089999999996,-136.56104,17.71315,5.62733,-2.45918,-5.62067,-1.59239,4.30847,-1.82099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-24,18:01:01,1,3,"Whysong, Nate",832393,Right,BOU_BRA,"Morales, Antonio",822655,Left,FAL_COM,Undefined,1,Top,0,1,1,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.80597,-2.42456,-1.641267,2288.456718,181.533356,12:00:00,5.44498,1.44349,6.34067,-11.52316,20.11249,0.50807,2.25029,-0.02562,84.67713,-4.696748,-1.549377,0.404818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78252,11.53627,-1.32433,50,5.26271,3.87593,-136.03324,-6.01084,-1.44679,33.54416,-10.84454,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,b05a1150-68d9-11f0-b481-8f5f58b7a685,93.10956,NA,NA,9.12884,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:01:01,2025-07-24T22:01:01Z,2025-07-24T22:01:01Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,b99dabfd-e479-4511-8b5a-654646040b8c,54.15528,-137.05405,16.77208,5.4406,-5.68082,-5.42227,-1.44296,3.91996,-0.7234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-24,18:01:18,1,4,"Whysong, Nate",832393,Right,BOU_BRA,"Morales, Antonio",822655,Left,FAL_COM,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,95.10159,-0.878564,-1.676629,2374.477284,204.144486,12:45:00,5.58218,1.39232,6.34983,-14.32524,16.49237,6.89059,3.57928,0.42277,85.50347,-3.666187,-0.429809,0.39955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.10079,9.16729,-1.27351,50,5.51143,3.73472,-137.9736,-2.49042,-7.77478,35.41372,-14.79353,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,ba807ca0-68d9-11f0-b481-8f5f58b7a685,94.33731,NA,NA,9.59812,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:01:18,2025-07-24T22:01:18Z,2025-07-24T22:01:18Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,7459daaf-224f-485f-9621-33c54d251f23,54.14542,-139.03354,17.70686,5.57934,-2.04764,-7.39677,-1.38877,3.96742,-3.88739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.21743,2.781828,1.785344,0.996484,-0.77808,3.43592,-0.40729,2.46387,5.29286,-3.75656,75.81614,7.70866,-49.01534,2.49469,77.80279,-4.23097,5.33687,16.94472,-14.60527,-3.82445,-51.48747,6.14435,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-24,18:01:47,2,1,"Whysong, Nate",832393,Right,BOU_BRA,"Schmidt, Carl",806214,Right,FAL_COM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.73812,-3.084791,-2.630646,2329.136035,216.299462,01:15:00,5.50284,1.37138,6.47906,-14.52828,16.57351,11.30686,1.45384,-0.10364,85.06845,-5.910385,-0.580715,0.401388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.78914,10.04323,-1.19087,50,5.27896,5.82575,-137.20866,-7.7735900000000004,-12.68219,36.05374,-13.41317,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,cbc56a70-68d9-11f0-b481-8f5f58b7a685,93.90531,NA,NA,9.66968,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:01:47,2025-07-24T22:01:47Z,2025-07-24T22:01:47Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,46a37663-7d49-4aa2-b461-e31d7f5c6e1e,54.01763,-138.26033,18.02687,5.5,-7.38234,-6.70659,-1.3662,6.19568,-6.3411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-24,18:02:01,2,2,"Whysong, Nate",832393,Right,BOU_BRA,"Schmidt, Carl",806214,Right,FAL_COM,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,95.0042,-2.798694,-2.55139,2305.34128,212.879158,01:00:00,5.46673,1.47091,6.50892,-15.97654,15.01146,8.92493,1.56235,-0.12836,85.03361,-5.893186,-0.932195,0.400653,88.79499,-80.838653,-89.189984,NA,NA,NA,NA,1.66845,1.66845,-4.523586,0.012328,-5.57595,9.18867,-1.29637,50,5.26409,5.7577,-137.60366,-7.16426,-10.43088,37.45745,-14.98489,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,d4363680-68d9-11f0-b481-8f5f58b7a685,94.07759,1.5874,NA,9.97059,NA,NA,NA,1.65964,1.5874,0.12439,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:02:01,2025-07-24T22:02:01Z,2025-07-24T22:02:01Z,GroundBall,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,6a10e8fd-2882-4426-827e-c78346b6647a,53.98782,-138.68495,18.72873,5.46466,-6.73169,-7.49244,-1.46693,6.05881,-5.21544,NA,1.65964,0.29356,NA,NA,NA,NA,NA,NA,NA,1.58777,-128.75877,NA,NA,NA,NA,NA,NA,NA,0.12445,-20.76316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-24,18:02:42,3,1,"Whysong, Nate",832393,Right,BOU_BRA,"Niu, Maika",809569,Right,FAL_COM,Undefined,1,Top,1,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,84.12701,-0.284972,-1.963864,2263.463845,134.086742,10:30:00,5.56146,1.56364,6.18265,-34.36214,4.94768,-3.7604,2.43464,-0.5639,76.67872,-6.68424,-2.642316,0.451255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35516,3.03563,-1.4135,50,5.52266,4.33251,-122.14829,-1.68172,2.03041,25.92595,-27.62586,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,ec9d5050-68d9-11f0-b481-8f5f58b7a685,83.52805,NA,NA,7.44829,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:02:42,2025-07-24T22:02:42Z,2025-07-24T22:02:42Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,2df94ae6-5d55-4a55-81a7-4911a85c2756,54.31576,-123.0609,12.96298,5.56474,-0.70927,-13.81293,-1.56475,4.26104,1.01521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-24,18:03:23,3,2,"Whysong, Nate",832393,Right,BOU_BRA,"Niu, Maika",809569,Right,FAL_COM,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.50896,-3.486427,-2.382985,2269.952441,202.129652,12:45:00,5.51242,1.36685,6.19207,-14.02249,17.31245,6.59091,1.11827,-0.28526,85.64118,-6.186463,-1.194472,0.402889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1604,10.37808,-1.19058,50,5.24223,5.41501,-136.90328,-8.73405,-7.81185,33.22694,-12.68744,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,0517cb10-68da-11f0-b481-8f5f58b7a685,93.55529,NA,NA,8.86779,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:03:23,2025-07-24T22:03:23Z,2025-07-24T22:03:23Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,43551b9f-7a90-45a1-9fb2-4cc761e5beb5,54.30621,-137.94445,16.61347,5.50969,-8.33648,-6.34372,-1.36409,5.6598,-3.90593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-24,18:03:44,3,3,"Whysong, Nate",832393,Right,BOU_BRA,"Niu, Maika",809569,Right,FAL_COM,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,1,0,NA,84.75172,-1.614224,-0.29515,2065.846912,120.868554,10:00:00,5.5825,1.51266,6.17851,-34.74825,3.67996,-4.16693,1.19569,0.89284,78.00907,-8.04329,-1.048572,0.446166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09772,2.67713,-1.4882,50,5.4427,0.78992,-123.19811,-4.56889,3.22128,24.66753,-28.06303,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,115f8fc0-68da-11f0-b481-8f5f58b7a685,84.48075,NA,NA,6.74264,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:03:44,2025-07-24T22:03:44Z,2025-07-24T22:03:44Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,3dfbc4cb-0705-41a1-8526-8447a7b12d5c,54.32236,-124.06055,12.33376,5.58529,-3.58775,-14.03152,-1.51385,0.6773,1.61064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.55484,2.080816,0.797491,1.283325,2.97988,1.41376,-0.92115,-1.23674,5.75819,1.30043,127.2769,2.84972,1.231,-1.12513,111.37703,-8.90789,5.8042,15.0675,-13.57315,1.25407,-3.32264,2.60988,High,High,High,NA,NA,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-24,18:04:16,3,4,"Whysong, Nate",832393,Right,BOU_BRA,"Niu, Maika",809569,Right,FAL_COM,Undefined,1,Top,2,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,86.31686,-1.93945,0.318392,2235.689955,146.968645,11:00:00,5.55748,1.38708,6.1911,-30.40301,7.29067,-3.84264,1.23256,1.36082,78.00963,-7.627042,-0.376332,0.441881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09973,4.81622,-1.40916,50,5.39618,-0.54411,-125.20736,-5.19148,3.27109,29.673,-24.67099,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,2460ac80-68da-11f0-b481-8f5f58b7a685,85.29992,NA,NA,8.30723,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:04:16,2025-07-24T22:04:16Z,2025-07-24T22:04:16Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,dfbfcec7-7e1b-43c8-87c1-deabe25a702b,54.30609,-126.22374,14.8365,5.55953,-4.34644,-12.3355,-1.38861,-0.65615,1.63554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-07-24,18:04:32,3,5,"Whysong, Nate",832393,Right,BOU_BRA,"Niu, Maika",809569,Right,FAL_COM,Undefined,1,Top,2,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,94.67562,-3.671551,-2.755029,2288.694919,194.908284,12:30:00,5.52207,1.31999,6.32691,-12.87363,18.55312,4.61634,1.0596,-0.83437,84.89693,-6.190418,-1.921088,0.403479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.34642,11.2589,-1.12093,50,5.24737,6.39282,-136.95601,-9.11172,-6.21718,36.40488,-11.25658,BOU_BRA,FAL_COM,CCBLBourne,Cape Cod Baseball League,CCBL,20250724-CCBLBourne-1,2e0cdec0-68da-11f0-b481-8f5f58b7a685,93.41853,NA,NA,9.77869,NA,NA,NA,NA,NA,NA,e2800c12-1a65-46b0-9631-f827bc8b1428,2025-07-24,22:04:32,2025-07-24T22:04:32Z,2025-07-24T22:04:32Z,NA,v3,6095,6099,NA,"Kelly, Gavin",815475,Right,BOU_BRA,0dbcd3a4-fe0b-4e55-8269-a5aad3c2c872,54.16959,-138.05989,18.20244,5.51848,-8.77039,-5.62829,-1.31763,6.58134,-3.10859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
