player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-22,16:05:45,1,1,"Brown, Jacob",10307985,Right,TRA_SPI,"Ineich, Matthew",1000362757,Left,ROY_OAK,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.12365,-0.177172,-2.373313,2137.866021,253.25282,02:30:00,5.55576,1.80848,6.10758,-26.71478,7.07658,19.54359,3.16556,1.24119,82.28092,-5.190526,1.14809,0.418383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.79449,4.06386,-1.63597,50,5.52834,4.64057,-132.2097,-1.30361,-18.84116,31.83243,-25.08082,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,1ac69830-4fab-11f0-9d27-b9f9530f5d8d,90.09074,NA,NA,8.84274,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:05:45,2025-06-22T21:05:45Z,2025-06-22T21:05:45Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,6d835a50-23c8-4155-bc9f-069fd6369a17,54.39087,-133.2627,15.91621,5.55774,-0.47394,-12.54041,-1.79979,5.26383,-9.42058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-22,16:06:00,1,2,"Brown, Jacob",10307985,Right,TRA_SPI,"Ineich, Matthew",1000362757,Left,ROY_OAK,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.11048,-0.051058,-2.773474,2137.602883,235.879962,01:45:00,5.59595,1.66759,5.93682,-23.49911,10.05536,13.30654,3.59027,0.20148,83.34704,-4.444708,-0.386017,0.416914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.54839,5.48922,-1.45353,50,5.57862,5.83141,-132.27886,-0.90857,-13.40359,27.63979,-22.4269,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,238c8920-4fab-11f0-9d27-b9f9530f5d8d,90.4082,NA,NA,7.76344,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:06:00,2025-06-22T21:06:00Z,2025-06-22T21:06:00Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,e01d1192-d967-446f-a5dc-7b92adf958f1,54.5623,-133.22874,13.8199,5.59659,-0.13784,-11.21345,-1.66185,6.29204,-6.70179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-22,16:06:16,1,3,"Brown, Jacob",10307985,Right,TRA_SPI,"Ineich, Matthew",1000362757,Left,ROY_OAK,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.13202,-0.84374,-1.822015,2207.165787,242.930127,02:00:00,5.5257,1.91244,5.85011,-26.70805,7.79559,13.08489,2.51556,1.30923,82.33071,-5.80822,0.525447,0.42277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.2041,4.56142,-1.7719800000000001,50,5.4415,3.60053,-130.8712,-2.85248,-12.46442,28.23373,-24.28195,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,2cfd3900-4fab-11f0-9d27-b9f9530f5d8d,89.15598,NA,NA,7.80131,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:06:16,2025-06-22T21:06:16Z,2025-06-22T21:06:16Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,8af00c4d-49f4-4b24-8e2a-fcb0ff964102,54.64916,-131.87038,14.11687,5.52724,-1.99315,-12.14098,-1.90721,4.04164,-6.23221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-22,16:06:34,1,4,"Brown, Jacob",10307985,Right,TRA_SPI,"Ineich, Matthew",1000362757,Left,ROY_OAK,Undefined,1,Top,0,3,0,Curveball,Slider,BallCalled,Walk,Undefined,Undefined,0,0,NA,83.36509,2.84005,-1.366817,1767.074922,328.868396,05:00:00,5.51128,1.71529,5.96773,-40.74774,-0.25567,0.97807,4.75175,0.52928,75.46383,-4.716732,-1.191203,0.45799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91504,-0.55173,-1.6075,50,5.71423,2.8446,-120.86857,4.64263,-1.34109,25.5985,-32.98267,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,37809160-4fab-11f0-9d27-b9f9530f5d8d,82.29964,NA,NA,7.90126,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:06:34,2025-06-22T21:06:34Z,2025-06-22T21:06:34Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,3d59f3e5-fdb5-4dc6-a723-5baf30dd06e0,54.53011,-121.82421,12.79925,5.51793,5.87394,-16.49133,-1.71463,2.89467,-0.67054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-22,16:07:10,2,1,"Brown, Jacob",10307985,Right,TRA_SPI,"Schuck, Aidan",10051986,Right,ROY_OAK,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,83.31064,0.95267,-2.467236,1626.351177,19.913601,06:45:00,5.46644,1.74375,6.21882,-38.79415,0.78571,-0.13634,3.11361,-0.54574,76.72735,-6.232618,-2.491832,0.452802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58268,0.53413,-1.55891,50,5.51866,5.2216,-121.06493,0.78645,-0.86883,22.60452,-31.37761,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,4d2a38e0-4fab-11f0-9d27-b9f9530f5d8d,83.24261,NA,NA,6.58329,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:07:10,2025-06-22T21:07:10Z,2025-06-22T21:07:10Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,9b2450e2-407f-4460-8da2-1df198fb6449,54.28131,-121.86169,11.30226,5.47144,1.89244,-15.6888,-1.7435,5.25222,-0.43441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-22,16:07:30,2,2,"Brown, Jacob",10307985,Right,TRA_SPI,"Schuck, Aidan",10051986,Right,ROY_OAK,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,91.78274,-1.089565,-3.271642,2202.46253,244.419106,02:15:00,5.63308,1.54532,6.05592,-23.8943,9.30359,17.10517,2.63159,-0.06088,83.43583,-5.56961,-0.195855,0.414693,82.83046,-0.239786,23.750254,3624.583985,NA,NA,NA,44.33358,44.06953,25.907821,0.384515,-9.79166,5.44347,-1.3,50,5.53551,6.88199,-133.12509,-3.32992,-17.46017,30.27483,-22.46745,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,594918d0-4fab-11f0-9d27-b9f9530f5d8d,90.8924,2.5136,NA,8.34691,NA,NA,NA,0.38862,2.5136,0.05222,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:07:30,2025-06-22T21:07:30Z,2025-06-22T21:07:30Z,GroundBall,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,be88a480-fa23-48a4-a85f-5407a2740a95,54.44378,-134.13187,15.13742,5.63382,-2.58277,-11.23372,-1.53851,7.46262,-8.73009,271.423857,0.39924,110.82537,-21.274,NA,NA,NA,NA,NA,NA,2.51768,-0.65014,-15.36398,NA,NA,NA,NA,NA,NA,0.04667,49.12212,2.98114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-22,16:08:16,3,1,"Brown, Jacob",10307985,Right,TRA_SPI,"Tyranski, Ryan",804042,Left,ROY_OAK,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.02549,-1.747271,-2.323276,2228.252844,241.431954,02:00:00,5.57786,1.73075,5.92771,-23.87919,10.04095,16.33509,1.96486,0.93513,82.79854,-6.212426,0.610809,0.41918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.0791,6.00922,-1.55426,50,5.42459,4.65626,-132.04894,-4.83211,-15.91422,30.02954,-21.64087,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,747f0a10-4fab-11f0-9d27-b9f9530f5d8d,89.91956,NA,NA,8.22695,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:08:16,2025-06-22T21:08:16Z,2025-06-22T21:08:16Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,4bd2fce2-d05c-4b3c-ab3c-d9f51d62b670,54.57161,-133.08452,15.01477,5.57836,-4.08582,-10.82044,-1.7243,5.20506,-7.95711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-22,16:08:39,3,2,"Brown, Jacob",10307985,Right,TRA_SPI,"Tyranski, Ryan",804042,Left,ROY_OAK,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,83.60965,0.045891,-1.259597,1704.188762,13.156416,06:30:00,5.44145,2.02431,6.0124,-39.94431,0.92421,-0.16244,2.15528,0.84371,74.72366,-7.393677,-1.288853,0.460114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37606,0.97626,-1.9254,50,5.424,2.67004,-121.1322,-1.21915,-0.54246,30.09804,-30.7659,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,821a29c0-4fab-11f0-9d27-b9f9530f5d8d,81.9197,NA,NA,8.88599,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:08:39,2025-06-22T21:08:39Z,2025-06-22T21:08:39Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,b7331e1a-683a-414e-b906-6e1488bb73b7,54.48206,-122.24079,15.04902,5.44804,-0.08596,-15.38295,-2.02411,2.69002,-0.27123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-22,16:09:03,3,3,"Brown, Jacob",10307985,Right,TRA_SPI,"Tyranski, Ryan",804042,Left,ROY_OAK,Undefined,1,Top,0,0,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,92.03226,-0.77658,-2.267436,2213.79212,235.581526,01:45:00,5.69167,1.78293,5.99624,-21.0493,11.85166,15.75694,3.21733,0.99375,83.97043,-4.735944,0.565011,0.412834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.7143,6.62748,-1.6128,50,5.6189,4.6073,-133.63337,-2.49971,-15.73239,29.23416,-20.20909,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,90538540-4fab-11f0-9d27-b9f9530f5d8d,91.30164,NA,NA,8.06184,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:09:03,2025-06-22T21:09:03Z,2025-06-22T21:09:03Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,47f55a26-61bf-4e99-8999-b0d43c3203ca,54.50292,-134.61484,14.61708,5.69143,-1.82123,-10.10454,-1.77635,5.13548,-7.86619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-22,16:09:37,4,1,"Brown, Jacob",10307985,Right,TRA_SPI,"Crane, Tristan",1000307773,Left,ROY_OAK,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.04418,-0.148412,-1.459378,1696.203467,58.996549,08:00:00,5.49415,1.7778,5.90741,-39.29014,0.2528,-2.11914,2.08217,0.24628,76.25263,-7.437193,-1.840194,0.452591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56181,0.64535,-1.65942,50,5.46029,3.2272,-123.23222,-1.65665,0.84125,30.47693,-31.20769,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,a511e260-4fab-11f0-9d27-b9f9530f5d8d,83.28148,NA,NA,8.79155,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:09:37,2025-06-22T21:09:37Z,2025-06-22T21:09:37Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,2c7847bd-f00f-4777-91e6-ff7e5457077c,54.58845,-124.36182,15.23847,5.50025,-0.49996,-15.60385,-1.77846,3.19602,0.42063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-06-22,16:09:57,4,2,"Brown, Jacob",10307985,Right,TRA_SPI,"Crane, Tristan",1000307773,Left,ROY_OAK,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.85498,0.604991,-2.347646,2195.024184,234.13163,01:45:00,5.82413,1.67954,5.9434,-20.76387,12.74233,15.97064,4.65548,0.83155,82.65562,-3.334485,0.518844,0.416614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.87713,6.67599,-1.50113,50,5.86081,4.7472,-133.17777,0.74328,-15.71649,32.39675,-20.35459,TRA_SPI,ROY_OAK,TURTLECREEK,NWL,NWL,20250622-TURTLECREEK-1,b0c1faf0-4fab-11f0-9d27-b9f9530f5d8d,90.47326,NA,NA,9.19935,NA,NA,NA,NA,NA,NA,cd28d374-f285-4492-8164-55587ea196c4,2025-06-22,21:09:57,2025-06-22T21:09:57Z,2025-06-22T21:09:57Z,NA,v3,NA,NA,NA,"Broski, Adam",10313982,Right,TRA_SPI,6ae8e5e1-0af5-4573-b798-ffd62b17580b,54.55336,-134.28085,16.19837,5.8237,1.43634,-10.1773,-1.67188,5.28233,-7.85825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
