player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-07-04,19:04:40,1,1,"Morse, Tre",1000435365,Right,WWA_SWE,"Anderson, Dillon",1000314379,Left,YAK_PIP,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.17373,-2.694792,-2.334961,2246.850324,217.056092,01:15:00,6.54262,2.01728,5.98853,-18.32363,16.37087,11.42512,2.51428,0.8042,81.6022,-6.18054,-0.281605,0.423937,71.70081,22.178533,-167.048773,2262.578487,NA,NA,NA,NA,37.31222,NA,NA,-6.62839,9.62855,-1.8395,50,6.3199,4.84806,-130.66322,-6.69827,-11.31743,30.71045,-15.73406,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,69730840-5944-11f0-afe9-cf84446d223d,88.91041,15.18709,NA,8.57154,NA,NA,NA,2.29706,2.6713,-0.81386,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:04:40,2025-07-05T02:04:40Z,2025-07-05T02:04:40Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,01d16d55-8303-4869-870a-001da313128e,54.50801,-131.7185,15.35523,6.54077,-6.15761,-7.86703,-2.01277,5.23695,-5.65871,18.124103,2.29474,-94.82967,7.89251,NA,NA,NA,NA,NA,NA,2.67979,39.42694,-22.97616,NA,NA,NA,NA,NA,NA,-0.81575,-21.76452,3.21209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-07-04,19:04:55,1,2,"Morse, Tre",1000435365,Right,WWA_SWE,"Anderson, Dillon",1000314379,Left,YAK_PIP,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.53549,-3.596011,-1.920047,2216.5155800000002,207.721654,01:00:00,6.48453,2.22626,6.20849,-14.99001,19.85733,9.78938,1.91027,1.2693,81.24477,-6.48724,-0.153132,0.42487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.65626,11.74875,-2.08695,50,6.20675,3.94873,-129.72709,-8.53624,-9.54721,29.55069,-12.34336,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,72782510-5944-11f0-afe9-cf84446d223d,88.71523,NA,NA,8.29071,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:04:55,2025-07-05T02:04:55Z,2025-07-05T02:04:55Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,96c8d9da-fa96-4e46-9f73-96eaf2b83833,54.28754,-130.70011,14.77534,6.48114,-8.12981,-6.17168,-2.22215,4.26309,-4.77361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-07-04,19:05:08,1,3,"Morse, Tre",1000435365,Right,WWA_SWE,"Anderson, Dillon",1000314379,Left,YAK_PIP,Undefined,1,Top,0,1,1,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,90.45487,-3.035033,-2.371608,2222.598692,211.710637,01:00:00,6.48743,2.00478,5.86525,-16.68761,18.18792,10.42316,2.27243,0.66908,81.35141,-6.232775,-0.503047,0.425042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.06894,10.65241,-1.81851,50,6.23166,4.95788,-130.87924,-7.41927,-10.34158,32.15396,-14.0221,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,79dd9ba0-5944-11f0-afe9-cf84446d223d,88.67931,NA,NA,9.10346,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:05:08,2025-07-05T02:05:08Z,2025-07-05T02:05:08Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,0fa797d7-8248-43a8-9d69-4622bcaed250,54.62819,-132.01138,16.07698,6.4842,-6.92555,-7.01105,-1.99948,5.322,-5.17079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-07-04,19:05:22,1,4,"Morse, Tre",1000435365,Right,WWA_SWE,"Anderson, Dillon",1000314379,Left,YAK_PIP,Undefined,1,Top,0,1,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,76.69771,1.628931,-1.868101,1743.985784,6.499104,06:15:00,6.40439,2.22464,5.44546,-62.25822,-13.45359,-1.72008,2.74251,0.33167,70.03862,-9.675557,-2.174812,0.502808,60.32859,54.574985,-101.658413,NA,NA,NA,NA,NA,58.20282,NA,NA,0.28406,-6.87658,-2.05837,50,6.50499,3.6943,-111.25702,1.05875,0.35163,22.25625,-40.68706,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,828c3400-5944-11f0-afe9-cf84446d223d,74.9639,56.41043,NA,6.65909,NA,NA,NA,2.08273,2.85526,-0.35695,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:05:22,2025-07-05T02:05:22Z,2025-07-05T02:05:22Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,bbe55e91-c9dc-462d-a036-4fc334748569,55.05535,-112.26376,11.12813,6.41547,2.89918,-20.34353,-2.22512,3.6784,0.17582,NA,2.08273,-10.36396,-3.93465,0.8958,-0.1726,0.04003,-0.01156,0.00359,-6.4e-4,2.85526,72.10158,-25.99224,3.23011,-0.69681,0.13974,-0.02843,0.00449,-3.7e-4,-0.35695,-50.22926,4.03337,-0.97445,0.19881,-0.05084,0.01923,-0.00757,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-07-04,19:05:37,1,5,"Morse, Tre",1000435365,Right,WWA_SWE,"Anderson, Dillon",1000314379,Left,YAK_PIP,Undefined,1,Top,0,1,2,Undefined,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,80.13125,-0.699595,-2.031268,1092.744171,231.296071,01:45:00,6.4521,2.19602,5.73145,-35.74297,8.94497,9.04209,2.82157,1.05709,72.08273,-7.353351,-0.412457,0.481134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.33319,5.24925,-2.0325,50,6.37205,3.76875,-116.09048,-2.53202,-7.11563,26.25644,-25.17042,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,8b1cbd10-5944-11f0-afe9-cf84446d223d,78.34076,NA,NA,8.04851,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:05:37,2025-07-05T02:05:37Z,2025-07-05T02:05:37Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,0599c5c6-0a01-4d3a-bfc7-ae40d1532165,54.76422,-117.16306,13.12822,6.45449,-1.50381,-12.58521,-2.19239,4.05942,-3.55782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-07-04,19:05:51,1,6,"Morse, Tre",1000435365,Right,WWA_SWE,"Anderson, Dillon",1000314379,Left,YAK_PIP,Undefined,1,Top,0,1,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,89.14043,-0.872337,-1.60519,2321.113524,192.682155,12:30:00,6.53345,1.89238,6.30728,-14.07914,20.51316,4.36996,4.5562,0.77744,81.38155,-3.605229,-0.815196,0.423313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71059,11.22579,-1.77668,50,6.46239,3.45315,-129.5219,-2.30718,-4.60333,27.12062,-13.10955,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,939662c0-5944-11f0-afe9-cf84446d223d,89.04163,NA,NA,7.75887,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:05:51,2025-07-05T02:05:51Z,2025-07-05T02:05:51Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,5881c31b-57b2-4c27-9a88-56933f5a2a32,54.188720000000004,-130.39603,13.56031,6.52994,-1.88464,-6.55478,-1.89037,3.60152,-2.30166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.35694,NA,NA,1.052979,NA,NA,NA,1.72578,5.34553,-4.55169,70.18034,6.12809,-54.61231,1.76269,70.04881,-4.8337,5.3917,16.623169999999998,-15.14297,-4.59578,-52.64837,4.90782,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-07-04,19:06:22,2,1,"Morse, Tre",1000435365,Right,WWA_SWE,"Reeser, Gage",1000436286,Right,YAK_PIP,Undefined,1,Top,1,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.40441,-0.424142,-2.620156,1922.505336,14.927334,06:30:00,6.44881,2.16436,5.63285,-61.63488,-14.24127,-4.19697,0.91644,-0.63164,71.47223,-11.57059,-3.372154,0.495486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35512,-6.76465,-1.9386,50,6.37277,5.29681,-112.3658,-2.87314,1.71788,21.96922,-40.74959,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,a63a1d40-5944-11f0-afe9-cf84446d223d,76.0717,NA,NA,5.93218,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:06:22,2025-07-05T02:06:22Z,2025-07-05T02:06:22Z,NA,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,32117fd6-b01d-4e57-8bc0-5ebe50ebf655,54.86914,-113.31379,10.98461,6.45881,-1.11476,-20.37479,-2.16556,5.22269,0.85894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-07-04,19:06:34,2,2,"Morse, Tre",1000435365,Right,WWA_SWE,"Reeser, Gage",1000436286,Right,YAK_PIP,Undefined,1,Top,1,1,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,90.05752,-2.229809,-1.964828,2251.404492,206.858673,01:00:00,6.4673,2.09834,6.36008,-15.99576,18.02899,8.55402,3.08002,1.00226,81.97998,-5.308223,-0.416681,0.419826,62.09211,17.267474,-28.077142,7157.377578,NA,NA,NA,129.72273,105.3584,-30.757308,1.719661,-5.04055,10.39583,-1.95994,50,6.29816,4.14292,-130.72543,-5.5095,-8.67472,28.96835,-14.28306,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,ad482500-5944-11f0-afe9-cf84446d223d,89.7812,13.40666,NA,8.07754,NA,NA,NA,1.06718,3.00222,-0.97045,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:06:34,2025-07-05T02:06:34Z,2025-07-05T02:06:34Z,LineDrive,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,3e9a7b9f-920c-403a-862c-0a06bebf350a,54.13671,-131.63892,14.48418,6.4648,-5.0591,-7.14153,-2.0949,4.41647,-4.33736,107.270745,1.06718,76.72942,-9.41531,1.71567,-0.35108,0.05568,-0.00973,0.00166,-1.4e-4,3.00222,27.03205,-18.4231,1.265,-0.22705,0.04314,-0.00525,0.00093000000000000005,-1.1e-4,-0.97045,-40.93038,1.86118,-0.08032,-0.02123,0.00971,-0.00174,1.5e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-07-04,19:07:02,3,1,"Morse, Tre",1000435365,Right,WWA_SWE,"Spicer, Finley",1000186916,Right,YAK_PIP,Undefined,1,Top,2,0,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,90.57611,-2.175166,-1.85616,2283.013878,205.855487,12:45:00,6.50123,1.96339,6.11487,-14.57839,19.50851,8.87985,3.27325,0.98663,82.07574,-4.995397,-0.256485,0.420209,87.25282,50.429937,-36.484143,3856.561894,82.77567,119.66013,-72.444,251.90812,116.21245,-44.775182,5.881284,-5.16362,11.09505,-1.82572,50,6.32679,3.88847,-131.38919,-5.37365,-8.93943,30.34163,-12.96596,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,bde38c60-5944-11f0-afe9-cf84446d223d,89.69928,132.26548,NA,8.50037,NA,NA,NA,1.68486,3.56527,-1.16795,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:07:02,2025-07-05T02:07:02Z,2025-07-05T02:07:02Z,FlyBall,v3,NA,NA,NA,"Bidwell, Zane",1000323274,Right,WWA_SWE,8781d0d2-f6fd-4055-83d1-529c97f66d9f,54.38156,-132.39716,15.17082,6.49816,-4.94292,-6.48298,-1.95983,4.18545,-4.46971,165.918034,1.68856,65.46549,-18.75489,4.7519,-0.64677,-0.00387,0.01663,-0.00228,1e-4,3.56471,98.6436,-22.3656,1.72201,-0.11143,-0.06616,0.0267,-0.004,2.1e-4,-1.17042,-48.42661,8.32854,-1.77085,0.19994,0.00406,-0.00389,3.2e-4,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-07-04,19:09:19,1,1,"Fisher, Ian",10178407,Left,YAK_PIP,"Tse, Trevor",1000430406,Right,WWA_SWE,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.7877,-2.780715,1.236894,2171.128625,149.74176,11:00:00,6.25117,-0.53584,5.88033,-20.32088,18.24938,-9.82115,1.9728,-0.20543,77.51612,-6.639,-0.526151,0.44699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39784,10.62823,0.44156,50,6.01492,-2.2751,-124.27563,-6.61699,8.31858,28.29625,-15.79496,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,0f9f50c0-5945-11f0-afe9-cf84446d223d,84.32507,NA,NA,8.27158,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:09:19,2025-07-05T02:09:19Z,2025-07-05T02:09:19Z,NA,v3,NA,NA,NA,"Hansen, Cole",815412,Right,YAK_PIP,dabd0e33-2b1b-4300-b4bb-9acd6ef716fc,54.61376,-125.32173,14.14812,6.24875,-6.03306,-7.89748,0.53135,-2.58263,4.15929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-07-04,19:09:31,1,2,"Fisher, Ian",10178407,Left,YAK_PIP,"Tse, Trevor",1000430406,Right,WWA_SWE,Undefined,1,Bottom,0,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.80664,0.465187,2.252888,1970.533473,132.479585,10:30:00,6.04499,-0.99433,5.89414,-39.15541,5.46111,-4.18292,3.21428,0.7498,71.98802,-6.81901,1.502404,0.48075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85988,3.16217,0.81522,50,6.06054,-4.38525,-115.64719,-0.287,3.80587,25.05957,-27.96591,WWA_SWE,YAK_PIP,BorleskeStadium,WCL,WCL,20250704-BorleskeStadium-1,16b63220-5945-11f0-afe9-cf84446d223d,78.40343,NA,NA,7.81862,NA,NA,NA,NA,NA,NA,d749db36-a773-4591-8d58-60c88e571a87,2025-07-05,02:09:31,2025-07-05T02:09:31Z,2025-07-05T02:09:31Z,NA,v3,NA,NA,NA,"Hansen, Cole",815412,Right,YAK_PIP,0d2468de-cf81-4d34-abd5-29bfb480fe63,54.59911,-116.63951,12.52979,6.04998,0.82041,-13.98296,0.99185,-4.53595,1.90294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
